"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RVJETEUO8JTTD","B0756FQ8ZG","B07HTLLCPR","Reviewed in the United States on March 9, 2023","March 9, 2023",1678320000,"Elsa Villalba aguilar",5,"Excelente","Se lo compré a mi niña y ella le encanto se la pasa rayando como tiene un año mi niña esa solo raya y muy contenta",false,"[""https://m.media-amazon.com/images/I/811wG-6Ks-L._SL1600_.jpg""]"
"R33JJLKJE7NSUT","B0756FQ8ZG","B0756FQ8ZG","Reviewed in the United States on March 7, 2023","March 7, 2023",1678147200,"Amazon Customer",1,"cheap","I bought my kids these, but they were Magnadoodle, This product is very cheaply made and the little magnetsthat come with it are a joke, they don't even work.",false,"[]"
"R36R86CQG5OWU0","B0756FQ8ZG","B07HV4N5GL","Reviewed in the United States on February 25, 2023","February 25, 2023",1677283200,"DM",4,"Good for travel, but not great","I bought this for a vacation that involved air travel in order to help entertain my 1 yr old.It definitely was successful with keeping her happy on the trip, but it's not very good quality.The shape stamps don't fit in the holder spots and are definitely a choking hazard so I didn't let her play with those.That was fine since she was loved scribbling with the attached pen more anyway.I would recommend this for travel and will keep it around for future trips, but will not leave it out for regular play at home.She has a better one at home anyway that's a bit larger and has toddler friendly stamps.If you're looking for something for everyday play, look for other options.If you just want something for a trip, then this could be a great option.",false,"[]"
"R2QJ7JL2L8BM2P","B0756FQ8ZG","B07HV4N5GL","Reviewed in the United States on February 22, 2023","February 22, 2023",1677024000,"jolene larson",3,"Cheap","Cheap and not good quality.",false,"[]"
"RG3BPC0SULX2U","B0756FQ8ZG","B07HTLLCPR","Reviewed in the United States on February 18, 2023","February 18, 2023",1676678400,"Vincent Webb",5,"One of my greats favorite toy.","My great granddaughter has not had a chance to use it much, but I'm sure she will enjoy it.",false,"[]"
"RQ03WM9ZGTGUX","B0756FQ8ZG","B07HTLLCPR","Reviewed in the United States on February 17, 2023","February 17, 2023",1676592000,"Renee Fleming",5,"Amazing product!!","Our 2 1/2 year old granddaughter loved this sketch pad. She carried it with her every for weeks.",false,"[]"
"R38X6GOFGYTV55","B0756FQ8ZG","B0756FQ8ZG","Reviewed in the United States on February 17, 2023","February 17, 2023",1676592000,"Charlyn",1,"Cheaply made, unsafe","Made of very thin plastic with sharp edges. Pen writes well but end is very sharp and pen already coming apart at seams. Ordered another brand of board the day I got this as I did not feel this was safe for my child even under supervision . Very disappointed",false,"[]"
"R36034HJ1LBD54","B0756FQ8ZG","B07HV4N5GL","Reviewed in the United States on February 13, 2023","February 13, 2023",1676246400,"Carmen M Melendez",5,"Muy útil","Mi nieta de 2 años quedo encantada con su regalo",false,"[]"
"R27SK0M9FPZZWW","B0756FQ8ZG","B0756FQ8ZG","Reviewed in the United States on February 10, 2023","February 10, 2023",1675987200,"Jvsan54",5,"Super divertido!","Super divertido, liviano y facil de portar a todas partes.Les encanto a los niños.",false,"[]"
"R1373RZHCYK241","B0756FQ8ZG","B07HTLLCPR","Reviewed in the United States on February 9, 2023","February 9, 2023",1675900800,"Cyndi",5,"Magnetic Drawing Board","My 3 granddaughters love this toy. They each have their own. We've had them over a year. The only problem is the stringkeeps pulling out and now cannot be fixed.this string attaches the pen to the board so they aren't lost. It would be great if the other 3 shaped magnets were also attached.",false,"[]"
