"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1OP86X0EIRIX6","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States 🇺🇸 on March 7, 2023","March 7, 2023",1678147200,"SC",3,"Very cute, but wrong pictures linked to product selection","This is a very cute toy that helps young kids work on fine motor skills, dexterity, creativity, and visual-spatial skills.It's a great, quiet, toy for travel.It would be nice if the magnetic pencil was tethered to the board to keep it from getting lost, but overall, I like it.Felt like we were making designs out of M&M's.Overall, I like the concept.I would keep an eye on younger kids, since if the pen breaks, or the clear plastic window breaks, you'd have a lot of potential choking hazards.The clear plastic window gets scratched up VERY easily from the uneven magnet in the ""pen"".Since the magnet is glued in unevenly, there's a rough surface on one side that is probably making the plastic window get scratched more easily than it should.The main reason that it lost two stars for not being as pictured in the description (currently, hopefully they update it).It's possible that there's a large and medium version of the duck and they accidentally put the LARGE photo in the images for MEDIUM, but it's not what I was expecting.In the image posted, it shows a toy that has 18 columns and 13 rows.That's 234 ""pixels"" where an child could get creative and make lots of different designs.Instead of what was pictured, I got the same yellow duck, but the play space has a large white border, with a play area of 7 rows and 7 columns, that's only 49 ""pixels"".Much more simple and better suited for younger kids, disappointed that the item doesn't match the picture.The sixth picture down (currently) shows what you'd actually be getting, a smaller 7X7 grid.",false,"[]"
"R1LOOJD7SO5OWS","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States 🇺🇸 on March 6, 2023","March 6, 2023",1678060800,"Megan Boomershine",3,"Fun, but terrible sealed compartment","What I love:- fun activity for small children, toddler age and up.- sealed design, so I don't have to worry about missing magnets or choking hazards. Still use only under adult supervision due to the potential for the case to break.- 5 colors makes this simple for little kids.- the case is fun!- lots of designs to copy- a slot for the card to stand in while you copy the design- slot to keep the magnet pen.- relaxing activity!- easy to use! The pen holds the magnet pieces and drags them into place easily.What I don't love:- the quality of the sealed compartment is lacking. The sheet is already scratched after only a few days. It feels loose, like you can move it around, and press on the sheet and it dips in. For a toy with magnets, advertised for 3+, a high quality sealed compartment should have been a priority. I think it's a thin plastic sheet like you'd expect on a dollar store toy? It should have been something significantly stronger.Overall, the quality makes me feel like this should be a $10 ($15 tops) toy, for which I'd recommend. 2 stars off for quality, since I'll most likely toss this once the sheet is broken and at $20 that feels like a very bad price (not to mention bad for the environment).I love everything else about this, though! If the quality of materials were improved this would easily be 5 stars because it's a fun activity! I even like using it myself, to be honest.",false,"[""https://m.media-amazon.com/images/I/71AxXdd3hCL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71FfyODXX9L._SL1600_.jpg""]"
"RKMQL0I3WLARH","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States 🇺🇸 on March 6, 2023","March 6, 2023",1678060800,"PK",5,"Contained Fun","This is a wonderful toy for my 3 and 6 year old grandchildren. The pieces stay within the plastic cover so there will be no missing pieces.The magnetic wand is not attached, which would have been preferred but there is an area to snap the pen in so it does not get lost. This comes with patterns to copy which is helpful, but you can do any thing your creative mind comes up with. It is a great item for the car or for the “go bag” to keep the kids busy!",false,"[]"
"R3Z6FOI3R4J15","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States 🇺🇸 on March 5, 2023","March 5, 2023",1677974400,"A.M.Jones",5,"Entertaining!","This is a great toy for entertaining your young one! It comes with the patterns for them to copy.Great magnetic game.A great value! Recommend",false,"[""https://m.media-amazon.com/images/I/619b9IMpRDL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71QBtD8yI4L._SL1600_.jpg""]"
"R1ZEF6LV547I5D","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States 🇺🇸 on March 5, 2023","March 5, 2023",1677974400,"CDE",3,"Lower quality then what we had 30+ years ago.","This looks fun at first, but then you notice the build quality. Isn't that great. The magnet pen doesn't have any attachment string like many other devices do. The cards reek of chemical smell. The front plastic is thin and flimsy, not thicker material like they used to have. It also scratches very easily. Some of the discs were not smoothly shaved, leaving rough edges which makes some hard to set. The indents are very deep, so it's harder to get the pieces to stay put. And the amount of colored discs are unbalanced. Also, the small size uses the same casing as the bigger one, but holds much fewer pieces than what would actually fit.It would be fun for some kids, but with a more limited number of variable colors and a very limited quantity of each, some much more than others, It only hampers some creativity and therefore has a decreased replay value.It is a horrible, but it isn't great either. It could be so much better with a few quality improvements on manufacturing and materials.",false,"[""https://m.media-amazon.com/images/I/619jcWo8XGL._SL1600_.jpg""]"
"RV3ORY85RPC8C","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States on March 14, 2023","March 14, 2023",1678752000,"Kevin R",5,"Super creative and fun toy","This is very creative and fun. This is a great gift really for any toddler up to young kid age. It’s a nice size, but not too big for them to take along with them to keep them occupied. My five-year-old daughter loves it. It comes with different patterns and ideas of what to make the little pen attract the magnets, and you can move them wherever you want. Makes no noise so great for a take along to restaurants, church, appointments, etc instead of screens. Really glad we got this!",false,"[""https://m.media-amazon.com/images/I/71QEFYKBXLL._SL1600_.jpg""]"
"R2MZ7D30U26DN1","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States on March 12, 2023","March 12, 2023",1678579200,"C. Daley III",4,"Love the Portability","We love that all the pieces are contained in one item which makes for great portability during travel or for restaurant entertainment.Some Notes:- Magnet pen does not have a string attached, so this could get lost- Magnet in pen could get dislodged if chewed on by child/infant causing a major hazard",false,"[]"
"ROLH0DX4EGLP6","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States on March 10, 2023","March 10, 2023",1678406400,"Chelsea",4,"Nice toy","The media could not be loaded. I really like this toy and so do my kids. I gave it four stars because I feel there should have been a spot built into the toy to store the cards. I also think the cards should be laminated so they are more durable especially since this is a toy for little kids. Other then that it is very well made, the design is cute and it keeps my little one well entertained.",false,"[""https://m.media-amazon.com/images/I/71LuZJC-Y1L._SL1600_.jpg""]"
"R2QC4IMO4S82FK","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States on March 10, 2023","March 10, 2023",1678406400,"LA",5,"This might be my favorite toy so far this year","I'm in love with this magnetic toy. The magnetic pen is stored in a little opening in the front. It's easy to put in and take out. It comes with 14 designs, 2 on each of the 7 cards, to mimic. Once the pen is removed, a card can be placed in the small opening for the card to stand up. It's best to slightly put it in. Otherwise pushing the card all the way down will cause it to tilt a little.The drawing board has a clear covering with visibility to the colorful magnets. The magnets looks like a popular candy. It's easy to move the magnets into the empty circles to make the design on one of the card designs or to make ones own design.Titling the board down removes the magnets from the circular spaces.Since it's a kids toy, laminated cards would be helpful. It would also be nice if there were more cards; perhaps to include the alphabet or numbers or shapes.This would be a really fun concept for a multipack for adults to compete against eachother; even for team building.I certainly recommend the magnetic drawing board.",false,"[""https://m.media-amazon.com/images/I/61D9Ou29KZL._SL1600_.jpg""]"
"R25UCVW6AFU3XJ","B0BVFKCZJY","B0BVFKCZJY","Reviewed in the United States on March 9, 2023","March 9, 2023",1678320000,"LoveMyLife",5,"Five Stars for this toddler toy","This little magnetic match game checks all of the boxes.It is self-contained so there are no loose beads. The wand tool is magnetic and sticks to the board.The bright colors help keep a child's attention, and they can follow the match cards or 'draw' their own designs.This is a cute educational toy, helps develop hand/eye coordidnation, and allows creativity at the same time.Perfect toy for those daily car trips.5 stars!",false,"[]"
