"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2LTA6NV3R8BA5","B0BWF78VX7","","Reviewed in the United States on March 19, 2023","March 19, 2023",1679184000,"babybaby1031",3,"It's ok","The magnet works well and attracts the individual dots nicely. You can mostly just make patterns so hopefully the user is ok with that. I like that there's a secure piece of plastic over the top so the dots aren't flying everywhere.",false,"[""https://m.media-amazon.com/images/I/71KftC4j50L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71vf1ploEJL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81jTZRvwh-L._SL1600_.jpg""]"
"R3D36RI2HYO930","B0BWF78VX7","","Reviewed in the United States on March 19, 2023","March 19, 2023",1679184000,"Nicholas Cocco",5,"This is a great product","The material is very sturdy and the magnet works perfectly.It's easy to use and small enough for on the go, or just at home!I recommend this product!",false,"[]"
"R3AZDDQN28BE86","B0BWF78VX7","","Reviewed in the United States on March 18, 2023","March 18, 2023",1679097600,"Deana Daellenbach",5,"Learning Fun!","Educational toy for learning fun. No little pieces to lose and also makes a great travel toy. This appeals to different ages of our grandchildren.",false,"[""https://m.media-amazon.com/images/I/61GD1fSvLyL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71TD1J3nWNL._SL1600_.jpg""]"
"RILRQASCW4P8E","B0BWF78VX7","","Reviewed in the United States on March 18, 2023","March 18, 2023",1679097600,"L. Breon",5,"Keeps kids engaged!","The colored magnets are especially eye-catching and encourage kids to create pictures. Very compact would make good toy for car travel.",false,"[]"
"R15Z0QC53HX5VC","B0BWF78VX7","","Reviewed in the United States on April 22, 2023","April 22, 2023",1682118000,"Isa Rose",3,"Nice size, wish it held the cards","This is a really nice size and was perfect for a 3 year old. That being said, I wish it had a way to store and carry the extra cards because right now they’re just loose in a random bag.Other then that, it’s well made and works well. Definitely recommend!",false,"[]"
"R3WAMYNWIRZ00","B0BWF78VX7","","Reviewed in the United States on April 21, 2023","April 21, 2023",1682031600,"Gabrielle McGhee",5,"Fun fun fun","was a hit with the kids",false,"[]"
"R2GZ5QMA80MHRX","B0BWF78VX7","","Reviewed in the United States on April 17, 2023","April 17, 2023",1681686000,"Kk",3,"Good idea, but","This is not messy except the cards.Not really have spots to put them while traveling.My 3 years old complains that the beads get stuck and then she goes hulk smash to try to get things unstuck.Maybe my kid is not mature enough to play this yet.",false,"[]"
"R1KLXES6VC64MG","B0BWF78VX7","","Reviewed in the United States on April 14, 2023","April 14, 2023",1681426800,"Lauren H.",4,"Perfect size for the car.","I ordered a larger version of this originally but it was much too big for a diaper bag or car toy but this one is perfect.I also like that for my younger child I can slide the card in so he’s just matching the color to a spot as opposed to having to plan and count spaces.You will need to show them how it works and because it’s a clear top, there’s a post in the center they have to drag the dots around. The wells are a little shallow so if you tilt it, the pieces will fall to the bottom. In my opinion, the bottom part should have been just a little bigger to better fit all the pieces.",false,"[]"
"R1BL2MZVPZK1ZN","B0BWF78VX7","","Reviewed in the United States on April 13, 2023","April 13, 2023",1681340400,"An Amazon Customer",3,"Frustrating!","This arrived with a clump of the magnetic ""skittles"" jammed in the upper corner. Unscrewing the back, adjusting the skittles, making sure they were all uniformly facing metal-dot-side-down, and re-screwing the frame was beyond tedious. Ultimately the effort was worth it and baby loves it, but again, it was a tedious experience and I'm not sure I'd order this again.",false,"[]"
"RQL66DS4EAE80","B0BWF78VX7","","Reviewed in the United States on April 12, 2023","April 12, 2023",1681254000,"SherryB",3,"seemed to lose interest fairly quickly","It's a good size for travel, doesn't seem like it would break easily, easy to use but didn't seem to hold their interest for long.",false,"[]"
"R274EIHY0Y2QJ3","B0BWF78VX7","","Reviewed in the United States on April 11, 2023","April 11, 2023",1681167600,"Karen",3,"Wanted to love it","I was really excited to give this to my kids, and it is neat- but the magnets do not rest easily into their spaces to make the pictures.It was frustrating for me, let alone my kids!Neat idea, but bad follow through.",false,"[]"
"R2BFVBCJ13SJRN","B0BWF78VX7","","Reviewed in the United States on April 11, 2023","April 11, 2023",1681167600,"Carrie",5,"Great Travel Entertainment","This was a great addition to our road trip. It helped keep my girls 2 and 6 entertained while on the road. No pieces to drop or loose which is nice! Easy to use and so many fun designs to make.",false,"[]"
"R60YHQIWT67VC","B0BWF78VX7","","Reviewed in the United States on April 10, 2023","April 10, 2023",1681081200,"Kiki",4,"Great road trip distractor!","This toy was a life saver on a recent road trip from Minnesota to Texas for a 4 year old! It kept her engaged for longer than most toys! You can use the cards to match the colors, or just play with it without them, andput the colored buttons in any pattern you want! You do have to be careful not to tip it up to far, or all the little magnets will fall.Overall it is a great toy, that teaches patience, thought process, color recognition and more!",false,"[]"
"R3UFAK3SL54QYW","B0BWF78VX7","","Reviewed in the United States on April 10, 2023","April 10, 2023",1681081200,"SJean9",5,"Educational and FUN","I absolutely love this! I love that the little magnets are enclosed! We love working on the little patterns! Great product for toddler motor skills!",false,"[]"
"R1LVA16SIT1T68","B0BWF78VX7","","Reviewed in the United States on March 22, 2023","March 22, 2023",1679443200,"Linda Huber",5,"Great Montessori magnetic board for little ones","My son is 4 and loves his new magnetic board. This really helps keep him entertained while at restaurants, or while grocery shopping, etc. he loves sorting the colors, making shapes, and making pictures. It is very good quality. Would make a great gift. Good value for the money.",false,"[]"
"R3308JBRPD38WC","B0BWF78VX7","","Reviewed in the United States on March 22, 2023","March 22, 2023",1679443200,"Danielle Desch",5,"Game to keep little hands busy","This is a great toy for occupying little ones, especially in the car, plane, restaurant, etc. I like that everything is contained, no loose pieces to worry about. It’s a great toy for teaching fine motor skills and hand-eye coordination.",false,"[]"
