"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1KGGQP8BZE86F","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 24, 2023","April 24, 2023",1682290800,"Melissa Hudson",5,"exactly as pictured","very nice for younger toddlers. gives them something to do and is super cute.",false,"[]"
"R1LOG22L2J8LE1","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 21, 2023","April 21, 2023",1682031600,"Lorena G",4,"Small choke hold parts","Small parts beware. Aside from that, a very entertaining toy for toddlers!",false,"[]"
"R2J9XN8QNNOBL5","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 18, 2023","April 18, 2023",1681772400,"kajiggaa",5,"Pretty cool!","We have a little artist and she took an interest on this... you have to be strategic sometimes or you will mess up tou entire picture. Great for teaching problem solving skills and motor skills. Great toy to get them off the electronics.",false,"[]"
"R3LKLOMD94BVNM","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Amanda C.",5,"Great","I got this for my niece and she loves it",false,"[]"
"R3VL3ZGSKLVCN0","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Mikilyah",1,"Very cheap toy.","The media could not be loaded. My child didn't enjoy playing with it and she stopped playing after an hour or so. The pen that comes with it is not magnetic and does not stick to the beads inside. A very cheap toy that will make your child lose confidence in drawing.",false,"[""https://m.media-amazon.com/images/I/614C2aZ6EDL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/61uiz7NwIbL._SL1600_.jpg""]"
"RJI3Q62ZOIWWX","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 16, 2023","April 16, 2023",1681599600,"Paige",5,"Awesome for toddlers","really great for younger toddlers. super cute",false,"[]"
"R23TP8OP9HYI1L","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 15, 2023","April 15, 2023",1681513200,"EMS",4,"Magnet could be a bit stronger","Both my 2 year old and 3 year old love this toy. It is an easy way to keep them entertained in the car or while we are out because there are no loose pieces. It would’ve been even better if the pen was attached but I just have to make sure we don’t lose it. The magnetic tip is not as strong as I would’ve hoped for but it still works. You sometimes drop a piece because it does not stick well. The provided book for ideas is not something that can be attached to the board so we did not really use it at all. It arrived looking more like an instruction manual, not design ideas. Overall, this is a great toy for creative play",false,"[]"
"R1OUPFGNG96KY4","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Giselle",5,"Really nice.","My granddaughter was using the pen to place the magnetic dots to make pictures. It was nice to they included a booklet of pictures to make on the board. Great for their imagination.",false,"[]"
"REJXILFMZJUV3","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 11, 2023","April 11, 2023",1681167600,"Amazon Customer",4,"Nice and Cute","Looks so cute and very pretty, My kid loved it.. Keeps him engaged for a while, no mess.. Quality is ok.. Not only kids, all ages can enjoy playing this, its interesting.. Loved it...",false,"[]"
"R2PWS3UTI3UF5Y","B0BX3VBSZN","","Reviewed in the United States 🇺🇸 on April 5, 2023","April 5, 2023",1680649200,"T B",5,"Adorable","It’s a great toy for an amazing price! My little one spends hours playing with it.",false,"[]"
"R1NUASJGYJ2UMJ","B0BX3VBSZN","","Reviewed in the United States on March 25, 2023","March 25, 2023",1679702400,"Jp",5,"Very cute!","Very cute frog magnet board! Keeps my 5year old busy for an hour by making different designs. So far its working great! Very happy!",false,"[]"
