"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2KCK3UMHH0CZG","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on April 7, 2023","April 7, 2023",1680822000,"punt",3,"Not what I expected","The item came to us used. Even though my purchase said nothing about being used. There was no packaging and the pen was attached with a string and a piece of tape. I had planned on sending it back, but before I could my daughter got a hold of it. It worked so we ended up keeping.",false,"[]"
"R22I6C43HMAQQB","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on February 16, 2023","February 16, 2023",1676505600,"Stephanie Haynes-McMullen",5,"Fun, Addictive Toy","I purchased this item to use in the pediatrics clinic I work in. I think I play with it more than the kids do however! It is so incredibly satisfying to push the metal rods back down after the magnet has pulled them up to the surface. I also really like that the pen attaches to the board when it is not in use and that the metal rods cannot come out.",false,"[]"
"R3MSFCE5SQ0IS","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on January 2, 2023","January 2, 2023",1672617600,"Shulls",5,"My son's favorite birthday present","My son has sensory issues. Pushing the balls out of the slots seems to give him the same pleasure as bubble wrap (or pop it toys). Still trying to get him to use the attached stylist. He found a good portion of the balls get in the slots if he tips it upside, so why move them one at a time.",false,"[]"
"RHQP4KDJM57P6","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on December 23, 2022","December 23, 2022",1671753600,"Sammy",5,"10/10","My son loves this, more than I thought he would. It’s so easy to take on the go and keeps the kiddos entertained!",false,"[]"
"R1XJWDJDQCJJ3R","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on December 18, 2022","December 18, 2022",1671321600,"Celia kusmus",4,"Very enjoyable.","Its very satisfying to play with. Makes a very good click sound.",false,"[]"
"R32QH8ILXRCUPM","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on December 5, 2022","December 5, 2022",1670198400,"Dale Nolan",4,"Engaging but Loud","We originally purchased this toy for our 4 year-old daughter to play with while traveling, but quickly realized it's quite loud. The metal beads move around and make a shaking noise. We decided it wasn't suitable for an airplane ride. However, our daughter has quiet time every day and we added this to her box of activities. She loves it! She really likes the cards that show you what you can make because she can copy them. A fun toy, just a little too loud.",false,"[]"
"R3DMV46FT5URSO","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on November 13, 2022","November 13, 2022",1668297600,"Isabel & Stanley",5,"Perfect for car rides!","My toddler loves to play with this, especially in the car! It’s a great way to keep screens away and he loves just pushing down the little balls and using the pen to pull them back up!",false,"[]"
"R2POP9OLBTJDPI","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on November 4, 2022","November 4, 2022",1667520000,"Our Growing Storey ",5,"Great toy for all ages","My absolutely love this toy…especially great during long car rides!",false,"[]"
"RQ18TSJMOCQ6E","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on November 1, 2022","November 1, 2022",1667260800,"Kiley Campbell",5,"My son loves this!","My four year old is very creative and loves to do arts and crafts. This was the perfect toy for him to occupy his time while recovering from an intense surgery. Hours of fun!If I’m being honest I enjoy it too! Sort of like a zen garden for my mind 🙂",false,"[""https://m.media-amazon.com/images/I/61V3ELqqLnL._SL1600_.jpg""]"
"R2SC396539VUHB","B01M4OV4Q4","B01M4OV4Q4","Reviewed in the United States on September 15, 2022","September 15, 2022",1663196400,"Ryan M.",3,"After a week a few spots stopped working","Initially I loved this product as I use it for pediatric occupational therapy; however, after the first week I noticed several spots on the magnet board stopped sticking to the top of the board or stopped functioning altogether. Still a solid idea to facilitate age appropriate grasp patterns and hand eye coordination.",false,"[]"
