"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RI8XXC3UPZPVP","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on March 10, 2023","March 10, 2023",1678406400,"Kimberly",5,"Good","Good daughter loves it",false,"[]"
"R3OB46JGBENFO2","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on March 3, 2023","March 3, 2023",1677801600,"John M.",5,"Great gift","My child loves it. Won’t put it down. All works great. No issues",false,"[]"
"RDOZJLIDJ987J","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on December 27, 2022","December 27, 2022",1672099200,"Amazon Customer",5,"awesome","Can't say enough on this toy! it entertains young and old. very sturdy",false,"[]"
"R1WBAL9GJJEMFZ","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on August 21, 2022","August 21, 2022",1661036400,"RJA",5,"Love this drawing board!","All kiddos will love this. It's so easy to use. Even my husband and I find ourselves playing with it. When you need the magnets to go back down, it's almost like a pop it toy.",false,"[]"
"R39E7IEHM9VUXE","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on August 4, 2022","August 4, 2022",1659567600,"scott gooden",5,"Fun, creative, self contained.","Nice amount of sections for more creative designs. Entertaining for a wide range of ages.",false,"[]"
"R3UII6TC94PANR","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on July 27, 2022","July 27, 2022",1658876400,"J D",5,"Cool thing","Pretty cool toy. Kid spends a good amount of time on it",false,"[]"
"R3RV9UXJGOGG7D","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on July 25, 2022","July 25, 2022",1658703600,"Shannon P. Johnson",1,"Magnets don't stay put - terrible quality","I purchased this as a gift for my niece because my son has one (a different brand) and she loved his! What a disappointment! The magnet balls don't stay up when you use the pen, so it's basically useless. I'll be returning it.",false,"[]"
"R1D06AN0UWXT9M","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on July 10, 2022","July 10, 2022",1657407600,"Phyllis B",5,"Children love it","It was a gift for my granddaughter and she loved it. Her little friends at her birthday party all played with it. It will great when they travel.",false,"[]"
"R2YASY3JZZ20Y0","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on April 3, 2022","April 3, 2022",1648940400,"Adrienne Wanek",5,"Great Practice","I use in ECSE classroom and my students love the magnetic beads popping up with the pen !",false,"[]"
"R10T7GAXWCA06T","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on March 12, 2022","March 12, 2022",1647043200,"Darin",3,"It’s okay","my daughter likes it, so I like it. However the design could be a tad better. Magnet isn’t the strongest but it works.",false,"[]"
"R2WPV0RALVXMQ3","B07QXMLSS5","B07QXMLSS5","Reviewed in the United States on February 27, 2022","February 27, 2022",1645920000,"Carolyn Shockey",5,"Nice product.","Great for gifting. Made well. Packaged nicely. Would recommend.",false,"[]"
