"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"REDWSJ88SI3V4","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on March 1, 2023","March 1, 2023",1677628800,"Amanda Tillman",4,"Please attach the pen","Absolutely love this product, so much so that I’ve purchased it twice. The downfall is that the pen isn’t stuck to it. So when my kid forgets to place it back then we are stuck with no pen. Wished they attached the pen to the side so I wouldn’t have to hunt for it.",false,"[]"
"R3CPHGH343F463","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on February 28, 2023","February 28, 2023",1677542400,"Amazon Customer",5,"CLASSROOM Fidget","Great for all ages",false,"[]"
"R6D8H98YZB8LB","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on February 28, 2023","February 28, 2023",1677542400,"Carley McAvoy",5,"Preschool","Purchased for my child’s preschool classroom. They love them and get lots of use out of them.",false,"[]"
"R1SCFVFQBYHSBJ","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on February 24, 2023","February 24, 2023",1677196800,"Heather Who",5,"Screen Free Fantastic!","This is a great little fidget fun device. Kids and adults alike can use this fun item! Durable and ASMR friendly as well!",false,"[]"
"R3UZG4AJBOVLHO","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on February 19, 2023","February 19, 2023",1676764800,"KC",5,"Grandson loved it 💯","One good Xmas gift for my grandson. He really likes it he carried it with him everywhere. Great for a creative mind 💯👏🏼",false,"[]"
"R27NL23X420VPH","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on February 18, 2023","February 18, 2023",1676678400,"M. Kaminski",4,"Cool","I like this, but I wish the pen were attached. I know it’s gonna be misplaced, and then I’ll need to find another magnet to use.",false,"[]"
"R3T7LTJD8G6KXR","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on February 16, 2023","February 16, 2023",1676505600,"Lisa",5,"good quality and entertaining for grandkids","Bought for my 5 and 6yr old grandkids and they loved it",false,"[]"
"R2YEQTMHUXX6UD","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on February 12, 2023","February 12, 2023",1676160000,"Katrina Ingle",5,"Whole family is addicted!","I added this to my son's birthday gift list and we all love it! So satisfying and relaxing, both pulling up the magnets and pushing them back down. It makes a great inexpensive gift that provides a fun alternative to screen time. Plus, we get to practice sharing, since mom loves it too!",false,"[]"
"R1KGYJK3JC6FJX","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 30, 2023","January 30, 2023",1675036800,"Mary",5,"Gets them off the video tablets!","Oh My! The kids are fighting over this. We had to buy three more! The 14 year old loves it as much as the 3 year old!",false,"[]"
"R5M05UKRD1PXW","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 25, 2023","January 25, 2023",1674604800,"Cheyenne Goomey",5,"amazing","bought this for my sister and she loves it, so easy to play with and very fun! also great for traveing",false,"[]"
"R39427VAK8ZNKR","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on April 20, 2023","April 20, 2023",1681945200,"Gary Stauffer",5,"Cute and great for sensory kids!","Ok - so I should tell you that my kids love this --- but my HUSBAND is also obsessed with this! It is so fun to draw on, and so satisfying to clear off. Great for long car trips, waiting rooms, and even playing with while i read to my kiddos.The ""pencil"" snaps super easily into it and amazingly stays put.I love this and will be getting 3 more.",false,"[]"
"RLO719EQUANSJ","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on April 18, 2023","April 18, 2023",1681772400,"Leanne M.",3,"It’s not an even number of holes.","So hubby bought this for me for calming when fidget toys aren’t working (Panic attacks). It works great. It is loud which actually helps.The *ONLY* complaint - it’s 19 holes x 20 holes… so I can’t do any perfect patterns. I mean it works because I can’t get anything to be perfect other than little things so I keep working at it. But ohhhhh that’s stressful.It would get 5 stars if it wasn’t for that. And yes it is aimed at kids not adults but it works…. Just don’t count them lol.",false,"[""https://m.media-amazon.com/images/I/71+E+Jhhu4L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71piAyzQj4L._SL1600_.jpg""]"
"R1W22207KR497P","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on April 18, 2023","April 18, 2023",1681772400,"Amazon Customer",5,"Super fun for all ages!","I bought for travel to keep my 3 year old busy and several older family members ended jk playing with it! We even had multiple people in the airport ask where we got it! I would definitely recommend!",false,"[]"
"R3U5JPVF7C3N6E","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Marcea Oberholtzer",2,"Lost the pen","The little magnetic pen should be attached somehow. We unfortunately lost our pen, it's kind of a useless toy without it. It is good quality and works great. But probably tie your pen on right away so you don't end up loosing it like we did 😏",false,"[]"
"R3QKR9K3PMF9DL","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on April 15, 2023","April 15, 2023",1681513200,"Ron Janosko",4,"Car toy","Grandson ( and his father) loved it",false,"[]"
"R31WAJGMZ7K8QS","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on April 15, 2023","April 15, 2023",1681513200,"Customer",5,"10 year old loves it","Cool product.My daughter loves it",false,"[]"
"RQ617JJKQC1H0","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on April 10, 2023","April 10, 2023",1681081200,"jorge niebla",4,"Love the product","I am loving the product. My son is 11, Non-Verbal Autistic and is loving this as well. The picture is how it is looking after taking it on a car ride. I'm not quite sure why it's doing that. The holes have the balls in them, they just wouldn't come up like they are supposed to. I will troubleshoot it to find out. Otherwise, it's a Great Product.",false,"[""https://m.media-amazon.com/images/I/71OPaLOsArL._SL1600_.jpg""]"
"RB0FV956XT4JD","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on April 6, 2023","April 6, 2023",1680735600,"LikeClockwork",5,"Therapeutic Creativeness","The media could not be loaded. The pen snaps in securely so I'm not worried about it getting lost. The magnets easily fill the holes and are able to be ""punched"" back by fingers, the ""eraser"" part of the writing tool, or by turning it sideways to clear many at once.It comes with a picture of many different designs you can create in case you are short on creativity at the moment.All family members enjoy using this, regardless of age.",false,"[]"
"R2MHWYOLLLGEGN","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on April 4, 2023","April 4, 2023",1680562800,"Lacey",5,"Great for triad trip entertainment!","These were perfect entertainment for my kids while traveling! They have continued to play with them even after our trip. Definitely recommend!",false,"[]"
"R2A1KZSLY8IZR4","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on April 3, 2023","April 3, 2023",1680476400,"Ashley S",5,"Great for Toddler Travel","My 2.5 yr old daughter loved using this on our road trip! She didn’t quite understand how to draw with it, but she loved pushing the little beads back down. It's got a great sensory feel.",false,"[]"
"RRBOTAMT69GN4","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on March 25, 2023","March 25, 2023",1679702400,"db",5,"Just the right size","Keeps kids busy and they have fun.. Everything all together.",false,"[]"
"R2E9S1NV06CNU7","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on March 21, 2023","March 21, 2023",1679356800,"Nan",5,"Kids love these","Bought these for my grandchildren to have on long car ride. They love them. Used them to make all kinds of designs for things they saw out the window. I like that there were lots of pieces - everything is contained in one board. Would buy again.",false,"[]"
"R1QYSETZ1HIVU0","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on March 20, 2023","March 20, 2023",1679270400,"P. M. O.",5,"Fun toy for kids","Good toy. Will be used often.",false,"[]"
"R1YVUBDLQX4KTB","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on March 18, 2023","March 18, 2023",1679097600,"Marie Morris",5,"Very nice magnet toy for young kids","This toy will keep young children fairly entertained for awhile. They can create nice patterns using this.It is built very well. Durable, colorful, and easily packed for trips by car or for use while on an airplane ride.",false,"[]"
"R3T95MW2HF0FLK","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on March 16, 2023","March 16, 2023",1678924800,"BastMan",4,"Fun","Nephew loved it..",false,"[]"
"RHFJXQTOKTSI6","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on March 13, 2023","March 13, 2023",1678665600,"Elina Kolev",4,"Pretty good, overall","Writes very well, but it is very loud.",false,"[]"
"R36T2H02GB3JGG","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on March 13, 2023","March 13, 2023",1678665600,"Sandra Faye K",5,"Just arrived- so far so good with my almost 3 year old !","The media could not be loaded. If you can handle the clicking sound then it’s a great idea! My sons little fingers aren’t quite strong enough to push the beads down so we have to help him but that doesn’t stop him from playing with it.*beads are well intact and the pen works well*clicking it makes is oddly satisfying to me so it doesn’t effect me- video should play the clicking*the size is good for slipping in a diaper bag or back pack on the go**the pen could easily be misplaced if not replaced in the slot- could possibly be created with a string that holds it- just like the old school etch-a-sketch** would recommend to everyone!",false,"[""https://m.media-amazon.com/images/I/7111FhQXA1L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71Hw6nsWfbL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71ZVV-O9NSL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71oAfGx+bYL._SL1600_.jpg""]"
"R21X9MCQ720DMG","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on March 7, 2023","March 7, 2023",1678147200,"Abigail Wilcox",5,"Perfect for kids","My kids love this! I even play it from time to time",false,"[]"
"R2K5QT45CYYICV","B07XCRT49W","B07XCRVK2Y","Reviewed in the United States 🇺🇸 on March 3, 2023","March 3, 2023",1677801600,"A. Lucas",5,"Basic but Brilliant","We’ve had one for a while and my elementary schooler loves it, especially for car trips! Gifted two more with great feedback.",false,"[]"
"R3HCAZRZSQZUJZ","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on March 2, 2023","March 2, 2023",1677715200,"Carol Goloby",5,"Keeps their attention for longer periods.Adults too.","Kids from 2 to 70 have enjoyed this drawing board.Each time I pick it up I have to play with it.Hard to put away.Several adults have asked about it for the children in their lives.I haven't had trouble with losing the stylus.Great buy!!",false,"[]"
"R3S2BIKZMHVVCF","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 23, 2023","January 23, 2023",1674432000,"Nicole",5,"Great activity for travel!","My kid really likes this. It's open ended play. Made well. We used it on a plane ride and shared it.",false,"[]"
"R3TTCDZI33XL8P","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 21, 2023","January 21, 2023",1674259200,"Kethrim",4,"Add a string to the pen and it's fantastic!","My students love using this board! I made a few modifications. I opened up the board to attach a cord through the holes and tied and glued the other end to the pen so that it wouldn't get lost. I also cut a piece of felt to go under the ball bearings so that it's not as loud if/when the kids shake it. If the pen came securely attached to the board, this would be a five-star review because otherwise, the board is great!",false,"[]"
"R3MMB3GV5LQGEX","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 18, 2023","January 18, 2023",1674000000,"kristi",4,"Only because my dog got hold of it and the pen was semi destroyed(not unfixable) yet","My youngest is addicted to this, he can have his tablet right in front of him and not even pay attention to it. He even took a shower instead of bath to get back to it faster.",false,"[]"
"R2TVWOVVAUO984","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 17, 2023","January 17, 2023",1673913600,"Amazon Customer",5,"Fun to play with.","I bought this for my autistic son for Christmas. He didn’t really care for it but the rest of the family liked it. It’s fun and mesmerizing. A good price and the color is cute.",false,"[]"
"R317GU2L0PU2KZ","B07XCRT49W","B07X7YFZWG","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"Smith",5,"Simple Fun","I really like toys that allow my kiddos to create, and the best part about this one is that it’s mess free! Woot woot!",false,"[]"
"R1BO1GYKX0YKAD","B07XCRT49W","B07XCRT49W","Reviewed in the United States 🇺🇸 on January 11, 2023","January 11, 2023",1673395200,"wm",5,"A toy for every age","This was purchased for a 4 year old who loved it. It wasn’t long until I saw all the adults playing with it.",false,"[]"
