"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3KG05U2UGV5BL","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on January 13, 2021","January 13, 2021",1610496000,"Sarah H.",3,"Design Flaws - Better Brands Out There","We LOVED this, and was a cool sensory toy too, but it had a few design flaws:( My kids really enjoyed it and it felt therapeutic actually to use it, even for me!However,1) There is no good way to secure the magnet pen so it doesn't easily get lost. It doesn't easily stay in place/go into place for my 3 and 5 year old.2) The tip of the magnet pen rubbed off and was no longer magnetic after about 2 days - we were very disappointed.3) The balls also started ""sticking"" and didn't fall back down into the holes.It is SUCH a cool idea and I actually found a different brand that I REALLY love that doesn't have those issues and feels like a really great quality product.Overall, I think this particular toy had great potential and maybe we got a fluke or something, but even if that was the case, I still think the design could use some work as far as the pen attachment goes. I would not personally purchase this item again or recommend it:(",false,"[]"
"R21G9C54169C97","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on December 30, 2020","December 30, 2020",1609286400,"Carrie ",5,"Love these","Bought two of these for a long road trip for my kids, and we all ended up playing with them. They were the most popular item of everything we brought to entertain them. Would definitely buy again.",false,"[]"
"R1XPLGOKLUTFJU","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on December 26, 2020","December 26, 2020",1608940800,"Angelene Hodgson",5,"Fun for all ages!","My 3 year old daughter loved this for a gift. But my 10 year old son also played with it. Fun toy for all ages.",false,"[]"
"RW5NY14KV3K1Y","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on December 15, 2020","December 15, 2020",1607990400,"Julianne",3,"Interesting for kids, but loud!","Its so loud!! The balls fall onto the back of the plastic board and they are loud! Was hoping to bring this on a plane ride but definitely not. Will gift to my sons for Christmas, I’m sure they will enjoy it.",false,"[]"
"R3FY1N0ONCG1BZ","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on December 11, 2020","December 11, 2020",1607644800,"J. C.",5,"Pretty Cool","Cool little gadget, cheaper here then on other sites. My son saw this on youtube, and Amazon delivered.",false,"[]"
"R3ONI1TG9W3X2Y","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on November 26, 2020","November 26, 2020",1606348800,"Chumee",5,"Great toy","I'm a teacher and its my students favorite toy",false,"[]"
"RUYCR6191ZFXM","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on September 30, 2020","September 30, 2020",1601420400,"Jonix",4,"Not bad as a copycat.","Not bad for a copycat.I prefer the one with alphabet or numbers on the board. One of the metal ball on the board doesn’t hold or get stuck. For aShort span of time using it and already got a small problem. I won’t doubt that next time, the balls wont hold anymore.I still prefer to buy or get the original tablet",false,"[]"
"R3K0QKJNSBCDVR","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on September 4, 2020","September 4, 2020",1599174000,"Paul (Rochester, NY)",5,"Fun for all kids!","My girls, ages 7 and 10, really like playing with this. They have had fun creating their own pictures, and copying the enclosed ideas as well. I am a pediatric occupational therapist and plan to use this with my kids in my sessions. It will be very motivating to them to work on shapes and letters, as well as fine motor and visual motor skills. I'm really satisfied with this purchase!",false,"[]"
"R33C4AQEFP6E73","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on August 25, 2020","August 25, 2020",1598310000,"Emily Ano",5,"Satisfying like bubble wrap","The media could not be loaded. My 20 month old loves it, very fun and creative",false,"[]"
"RAVT6GOS5O7E5","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States 🇺🇸 on August 21, 2020","August 21, 2020",1597964400,"Angelia Vernon Menchan",5,"Wonderful","Writing board for pre schoolers. Very useful in teaching kids to write. The magnetic component is fun for youngsters.",false,"[]"
"R3F80OO0621513","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States on April 20, 2023","April 20, 2023",1681945200,"Amazon Customer",5,"My 4 year old won't put it down!","Big hit! My 4 year old loves it. Very entertaining and easy to use.",false,"[]"
"R29PEOLLG3JN4D","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States on December 26, 2022","December 26, 2022",1672012800,"amy ulvert",5,"We are obsessed!","I bought this for my 7 year old and he will not put it down. He thinks it's so cool that you can ""erase"" it with your finger! Too cool",false,"[]"
"R3V6DS9ISQL1T","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States on December 6, 2022","December 6, 2022",1670284800,"Evarts",5,"Good Quality","I bought two of these for my preschool, my students love them. They are very good quality and easy to use.",false,"[]"
"RM3JDP1U6MTML","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States on August 28, 2022","August 28, 2022",1661641200,"lana keren moscovitch Viana",5,"Don’t walk, run - this is amazing","This is amazing. Every single child is obsessed with this toy. Great for cars and planes and even restaurants",false,"[]"
"R1G5NYBRN8QZI4","B07ZJ8FDPK","B07ZJ8FDPK","Reviewed in the United States on November 23, 2021","November 23, 2021",1637625600,"jos sorensen ",5,"Great gift idea","This is my go to gift to send niecesand nephews. It’s always something no one gets them and everyone always loves playing with it. Ages 2-100",false,"[]"
