"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R13AVF6YOF5YP1","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on January 13, 2022","January 13, 2022",1642032000,"scott hoffman",5,"Fun","Kids loved it",false,"[]"
"R2SUC9OQDCGG8X","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on January 3, 2022","January 3, 2022",1641168000,"Amazon Customer",1,"Returned","I returned this. The balls are hard to push back down to clear it. In my opinion, whatever you try to design, you can’t see the picture very well.",false,"[]"
"R2OHACGWA8FQ8A","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on January 2, 2022","January 2, 2022",1641081600,"George",5,"Kids love it!","Bought for my 2 y.o daughter and now is the favorite of hers and her cousins ranging in age 2-9 I will be buying more.",false,"[]"
"RALF0JY5DQPRV","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on January 1, 2022","January 1, 2022",1640995200,"Jack & Dawniece",1,"Not worth the money","The media could not be loaded. The magnets don’t stick up also multiple magnets come up at a time. And they fall back down on their own. Definitely not worth the money",false,"[]"
"R35J0FMXJWRINU","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 29, 2021","December 29, 2021",1640736000,"Bonnie Taylor",3,"Perfect except the stylus was lost in a day.","This is a great toy and would be perfect for travel, however, the maker must not remember that small children never put things away.The stylus is not attached in any way, so it was promptly lost. We finally found it, and it was lost again in 5 minutes. If they think toddlers will actually be responsible and put it in the slot when finished, they clearly don’t know children.Add a tether and this would have 5 stars.",false,"[]"
"R17HP1ZUQOL2T","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 29, 2021","December 29, 2021",1640736000,"Amazon Customer",5,"At first it’s hard to press all the balls down but then it’s amazing","The media could not be loaded. Love it everything is a 10/10 super satisfied",false,"[]"
"RPQ7DE5SALQFO","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 27, 2021","December 27, 2021",1640563200,"Sutherland",5,"So much fun!","I bought 2 of these for Christmas for each of our kids, they are so cool!So much fun to play with. Oddly satisfying. I would recommend d this to anyone for a gift. All of the adults even played with it!I love that there aren’t any pieces and it’s easy to take on the go!Seems well made and like it will last a long time.Buy it!I paid $20 each in October 2021.",false,"[]"
"R17KMARZ9LEQ28","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 25, 2021","December 25, 2021",1640390400,"Amber Renae Turley",5,"Favorite toy","My 2, 4 and 6 year old absolutely love this toy. Everyone loves to play with it. It's a great sensory toy.",false,"[]"
"R368SL6Q6GSD4A","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 15, 2021","December 15, 2021",1639526400,"gigi",1,"Review","Not at all what I expected, did don't work well. I sent it back. Disappointed...",false,"[]"
"R3SSF5FTPH77NL","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States 🇺🇸 on December 15, 2021","December 15, 2021",1639526400,"Sbmom",3,"Hard to ""erase"" the balls","Its very hard for kids (and even adults) to push the beads down. Each time a kid wants to erase it, they need my help. It hurts my fingers to push the little balls down and takes a very long time. Otherwise, it's a great toy because it's a good size and makes no mess!",false,"[]"
"R1AV551DWSXPQB","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States on April 14, 2022","April 14, 2022",1649890800,"Ana",1,"Returned","Magnets would get stick.. took some pressure to reset.Not what I expected. Pretty pointless given how small it is.My son didn't find it interesting at all.I returned",false,"[]"
"R1HWP8D8VHBCGS","B09R9MMW6J","B085Q4W3WX","Reviewed in the United States on April 10, 2022","April 10, 2022",1649545200,"Connie Ross",5,"Perfect!","Absolutely Perfect. Works Well, easy size. Kept my 6 year old entertained on our road trip.",false,"[]"
