"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3K2BC5BX9DEX8","B07D76SCRG","","Reviewed in the United States on April 20, 2023","April 20, 2023",1681945200,"Ted ADD Acres",5,"Great item,sure beats coat hangers","Purchased to roast hot dogs over outdoor fire.Was tired of wimpy coat hangers.These work great.They are much longer than most offered and by buying 6,price was much better also.Extend well away from fire to protect hands from heat.Would recommend for kids use instead of the much shorter offered by other sellers.",false,"[]"
"R1FPB3HYUK40H0","B07D76SCRG","","Reviewed in the United States on April 20, 2023","April 20, 2023",1681945200,"Amazon Customer",5,"Well worth the money","Extreme long and easy to use. Would definitely buy again!!",false,"[]"
"R2TA7TG92C2PGP","B07D76SCRG","","Reviewed in the United States on January 27, 2023","January 27, 2023",1674777600,"big reader",5,"Great quality","These roasting sticks are the best. Very sturdy. Great price.",false,"[]"
"R2PSI0O7CR8K8Z","B07D76SCRG","","Reviewed in the United States on January 18, 2023","January 18, 2023",1674000000,"L Nazario",5,"Awesome for Smores","Bought these so the kids could roast Marshmallows and make Smores by the firepit. No worries about hot handles or getting too close to the flames.",false,"[]"
"R1P32RD5PVQUI8","B07D76SCRG","","Reviewed in the United States on January 12, 2023","January 12, 2023",1673481600,"Julia Poe",5,"Perfect","These are exactly what we needed, perfect for all your campfire hotdogs and marshmallows.They are priced right, easy to clean and store, great quality and come in a variety of colors too!",false,"[]"
"R3NIOHKVJAMB2J","B07D76SCRG","","Reviewed in the United States on January 5, 2023","January 5, 2023",1672876800,"V2KRVW",5,"Fancy sticks!","""These are some nice fancy sticks compared to the twigs we used before!"" Words from a 9-y/o while roasting smores over a campfire. Very sturdy, easy to use, and love the safety provided by the extendable feature & the tip caps. Nice carrying bag. The only downside is once I removed the grips to wash them, I couldn't get them all the way back on afterwards, as if the rubber shrank a little bit. And no, they weren't in the dishwasher.",false,"[]"
"R3CLWU18GYQQ28","B07D76SCRG","","Reviewed in the United States on January 3, 2023","January 3, 2023",1672704000,"John ",4,"gift","gift",false,"[]"
"R2U1AYB1BJRBMT","B07D76SCRG","","Reviewed in the United States on December 29, 2022","December 29, 2022",1672272000,"annie",5,"Perfect s’mores sticks","Well made and easy to clean.",false,"[]"
"R20ZPLSRKE4UZ2","B07D76SCRG","","Reviewed in the United States on December 20, 2022","December 20, 2022",1671494400,"Amazon Customer",5,"Fantastic product!","an incredible upgrade to old fashioned coat hangers! Incredible price for the quality of the product too!",false,"[]"
"RV42YMJPMB6QD","B07D76SCRG","","Reviewed in the United States on December 18, 2022","December 18, 2022",1671321600,"Amazon Customer",3,"Pretty good, not perfect","We have not used these yet. I purchased as a gift and opened to take a look. Overall, they seem pretty sturdy and have a great extension length. However, one had rust and looked damaged. Super disappointed because I don't have time to exchange for an undamaged set.",false,"[""https://m.media-amazon.com/images/I/51NVdUko1GL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/51hUpGuRRpL._SL1600_.jpg""]"
