"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3MREXJAT69LHA","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on February 19, 2023","February 19, 2023",1676764800,"ajovonda",5,"Smores night","Items were sturdy and safe and easy use for the kids.",false,"[]"
"R1YS3NJXKJ9P8N","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"Marcia Boyd",5,"Great forcommunity event","Stood up well to families making smores",false,"[]"
"R31BXO9O7QZNZF","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on December 29, 2022","December 29, 2022",1672272000,"Mom",5,"Price is right","If u camp or like s’mores these are great to have on hand!",false,"[]"
"R2M78D6YXO74H1","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on November 29, 2022","November 29, 2022",1669680000,"Del ",5,"Awesome!","The roasting sticks are the perfect length for fire pit roasting. They are sturdy and easy for small children to use. The canvas bag holder keeps them sanitary and allows easy storage. We bought this for a surprise birthday party to roast marshmallows for s’mores and it was perfect. I would definitely buy theseagain.",false,"[]"
"R1B11JEKBQQZB","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on November 29, 2022","November 29, 2022",1669680000,"Marisol santiago",1,"Worthless","More garbage for my trashcan. Amazon is a joke. There is nothing like being able to touch and look at a product before you buy it cuz otherwise you're disappointed when you receive all this amazon trash 🗑.",false,"[]"
"R2JBAQSB6TFW5G","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on November 23, 2022","November 23, 2022",1669161600,"Laila",5,"My house smells GREAT!","I wanted to share this alternative use for extra ""Marshmallow Smores"" sticks that I saw on social media. I mixed Amazon vanilla and lavender essential oils into my stunning vase to make this large diffuser.",false,"[""https://m.media-amazon.com/images/I/71gXD+NZ36L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81GMgUk63zL._SL1600_.jpg""]"
"R36BCS4CXY1CWG","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on November 8, 2022","November 8, 2022",1667865600,"Shawn Roberts",5,"Perfect for S'mores, great length","Perfect for S'mores. Length and strength just right",false,"[]"
"RH27BEQP5GLZ7","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on October 14, 2022","October 14, 2022",1665702000,"Donna M",5,"Ease of use.","Making s'mores.Works great!",false,"[]"
"R2ZE26RUNBSZYJ","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on October 10, 2022","October 10, 2022",1665356400,"Rob Hoffman",5,"Was a great part of our daughters wedding!","Perfect for the smore purpose!",false,"[]"
"R3O7J918UCMJBS","B07N481H53","B07N481H53","Reviewed in the United States 🇺🇸 on September 27, 2022","September 27, 2022",1664233200,"Julie Ciota",5,"STOP don’t look any further","These are the perfect length and very durable. Just remember to wet them down before use, so the stick doesn’t catch on fire. The nice thing is you can put them in the fire when you’re done",false,"[]"
