"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3TH7W2Y8H450B","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on March 31, 2023","March 31, 2023",1680217200,"JD",5,"Seem very sturdy","Haven’t used them yet but seem very sturdy. They come with a nice storage bag. I’m sure the grandkids will love them",false,"[]"
"RJNT1KRAHFK1Z","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on March 18, 2023","March 18, 2023",1679097600,"Alice Lewis",5,"Handy to have, easy to store","These are not super sturdy, but they will hold a hotdog or brat.I would not put anything heavier on them. Excellent for marshmallows.The fold up so well.I love them and recommend them",false,"[]"
"R24BWYVYO6K5LA","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on March 7, 2023","March 7, 2023",1678147200,"Carolyn Hardin",5,"Fire","These are fabulous the extension is long and they are sturdy",false,"[]"
"R1E0LJOSLMEHAO","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on February 28, 2023","February 28, 2023",1677542400,"Hi There",3,"Ok, but not great","Purchased based on reviews and disappointed it is not sturdier!Does a decent job for marshmellows but have tried hot dogs. Okay for home camp fire use but not serious regular camping.",false,"[]"
"R1AJU3PQS4PAN","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on January 22, 2023","January 22, 2023",1674345600,"Savy shopper",5,"Perfect for smores!","Great for making smores. The different colors on the handles helps everyone know which is theirs. Telescoping handle is cool and goes a long way out which should help people stay safer than most skewers would. Sturdy enough but sine they are Telescoping they aren't at sturdy as say a stick or one piece skewer. Would buy again if needed.Arrived quickly and was a good experience with the seller.",false,"[]"
"RRSF1A2GBE6II","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on January 16, 2023","January 16, 2023",1673827200,"Cindy A Wanamaker",5,"A Hit for the Backyard Barbecue!","Having gotten a fire pit these were great for not only roasting marshmallows, but we used them to reheat our Chinese PuPu Platter! When family saw them, 3 of them put in orders!",false,"[]"
"RF432RWCHO8Y","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on January 15, 2023","January 15, 2023",1673740800,"holly bearden",5,"Absolutely perfect for this campfire roasts","What a pleasant surprise and great buy. Absolutely nailed it! The telescope feature made for an easy and safe reach for roasting hotdogs or marshmallow over an open fire. Several different colors so many people can partake at the same time. Highly recommend this product.",false,"[]"
"R1CGMHD2Q59XRP","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on January 5, 2023","January 5, 2023",1672876800,"Thomas B Polinski Jr",5,"Stability","All good with guality",false,"[]"
"R15DEFOOSGR4KI","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on December 24, 2022","December 24, 2022",1671840000,"Patricia ",5,"Table top model","Nice",false,"[]"
"R1VZD53WTPP9R7","B07TV7QN3Z","B07TV7QN3Z","Reviewed in the United States 🇺🇸 on December 20, 2022","December 20, 2022",1671494400,"Tim Wilson",5,"Great product","Great product",false,"[]"
