"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RFMDWWMX0DU7C","B095GYLZYD","","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Amazon Customer",5,"Funciona perfecto.","Buen material, fácil de usar.",false,"[]"
"R6NGXJ0HCSKR6","B095GYLZYD","","Reviewed in the United States 🇺🇸 on April 13, 2023","April 13, 2023",1681340400,"Dan Waters",5,"Fun to use around the firepit","Extendable enough to keep people safe",false,"[]"
"R1RZHTRCZ4I0EW","B095GYLZYD","","Reviewed in the United States 🇺🇸 on April 11, 2023","April 11, 2023",1681167600,"Erica R ",2,"love the product but beware","PLZ SUPERVISE KIDS these the metal gets dangerously hot even after a couple minutes out the fire! Maybe write a BIG warning label because they are not safe and dealing with a few kids at a time around a fire is already stressful enough so to make sure they leave they’re hands were they are supposed to is a lot especially because we all kids have a small attention span 😅 great concept but more ADULT FRIENDLY!only thing in idk why it lists all those products you can roast when it barley holds a big marshmallow (so with that said don’t eat off the stick!)",false,"[]"
"RJLG86J0JIUSA","B095GYLZYD","","Reviewed in the United States 🇺🇸 on March 29, 2023","March 29, 2023",1680044400,"Cindy G.",5,"Great gift item!","I gave this to my neighbors as a gift for their children.I was told that they worked well.",false,"[]"
"R20OEDGZ4LGCI3","B095GYLZYD","","Reviewed in the United States 🇺🇸 on March 28, 2023","March 28, 2023",1679958000,"CBHumble",3,"Did the job","Used for roasting hot dogs and marshmallows with grandsons. Very flimsy. I’m not expecting them to last very long if used a lot. But they worked well for our little activity by the fire pit.",false,"[]"
"R11SRB1CZY593X","B095GYLZYD","","Reviewed in the United States 🇺🇸 on March 23, 2023","March 23, 2023",1679529600,"Heather R Brasington",4,"Very Nice","Nice for small fire",false,"[]"
"R2624XXQPSFBB0","B095GYLZYD","","Reviewed in the United States 🇺🇸 on March 16, 2023","March 16, 2023",1678924800,"RM",2,"Not worth it","Pretty flimsy. Probably ok for marshmallows but not for sausage or hot dog roasting. I guess you get what you pay for. I wouldn't recommend.",false,"[]"
"R2C6Q91WZ6Q1DN","B095GYLZYD","","Reviewed in the United States 🇺🇸 on February 26, 2023","February 26, 2023",1677369600,"Colleen",3,"Easy to use but difficult to clean","These are very easy to use, and I feel like sturdier and better than previous skewers I’ve used (both homemade using metal hangers or store bought). I find them extremely hard to clean, though. I wonder if I’d have better luck cleaning them if I used them for grilling veggies, but I’ve had these for a few years now and have only used them for marshmallows when making s’mores. The marshmallows get stuck and it takes a lot of soaking and scrubbing to get them off.",false,"[]"
"R2MG8AD7RQ7H47","B095GYLZYD","","Reviewed in the United States 🇺🇸 on February 11, 2023","February 11, 2023",1676073600,"Lee Berman",5,"This is the best","The telescoping rod makes this the best roasting fork. It extends a long way, it is stiff and less wobbly than the other kinds and then it collapses into a small, storable size after cleaning. All roasting sticks should be made like this.",false,"[]"
"R2NYAJ8JSKJNYB","B095GYLZYD","","Reviewed in the United States 🇺🇸 on February 1, 2023","February 1, 2023",1675209600,"Leonard",4,"Good length.","These are a good length and durable. Became quickly discolored and slightly difficult to clean after use. Do not rotate like some I had in past which I’d prefer but that was an oversight on my part.",false,"[]"
