"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RIT4FB1KRCX87","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Brenden D Richard",5,"These are great sticks!","A reasonable amount of thought clearly went into designing these marshmallow sticks.As a family who not only roasts marshmallows in the backyard but also has parties where other kids come over to do it as well, these work very well.The forked design makes sure the marshmallow stays on the stick.This doesn't matter as much if you aren't a twirler but for those who constantly spin their marshmallow while cooking it provides good stability.The telescoping design allows the stick set to be given out to everyone, regardless of age.It also makes it easier for people to choose where in the fire they want to cook their marshmallow.It was easy for both adults and kids to use.Speaking of being given out to everyone, the color coding on the handle is a great idea.What usually happens is that kids go through the first batch of s'mores and then stop to eat them.But then there is often just a pile of sticks and kids tend to lose track of which one is theirs.The colors make it is to know.Again, this isn't so important if everyone keeps their fingers and mouths away from the stick but that's not always the case.Highly recommended!",false,"[]"
"RYK2RBSN1Q8IH","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on January 13, 2023","January 13, 2023",1673568000,"RT",5,"telescoping skewers","Work as they should. The handles feel cheap but they have help up over three camping trips and once or twice being used at home. So, I give them five stars.Easy to clean.",false,"[]"
"R3ELTAO5JWZH8Y","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on January 2, 2023","January 2, 2023",1672617600,"bob macgaunn",5,"My grandchildern love them! They work Great around the fire pit in our backyard.","the color coding on the handles works great for kids.",false,"[]"
"R28PTS0ROWWZ95","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on December 22, 2022","December 22, 2022",1671667200,"Bonnie B",5,"Nice for the fire pit‼️❤️❤️","I Love these‼️Great for fire pit‼️❤️❤️I ordered another one❤️ They come with a little zip up case to fit",false,"[]"
"RPFRAXNTYJOGD","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on December 19, 2022","December 19, 2022",1671408000,"Joan",5,"roasting sticks","a great buy. thanks.",false,"[]"
"R9HD5XBZ8QPIA","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on December 17, 2022","December 17, 2022",1671235200,"Amazon Customer",5,"Works great for marshmallows","A little weak for hotdogs, but great for marshmallows",false,"[]"
"R7XTMOIBS8MDE","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on December 6, 2022","December 6, 2022",1670284800,"Stuart Baker",3,"Cheaply made but functional","One of the sticks broke on initial use. Instead of telescoping it came apart.",false,"[]"
"R3JGBHFXJRP4WS","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on November 12, 2022","November 12, 2022",1668211200,"Cj the good aunt",5,"Very nice telescoping roasting sticks","We used these for a cookout for the neighborhood kids.They used them to roast hot dogs and then marshmallows for s'mores.They worked well.Cleaned like a dream.And the colors were perfect.Each child just had to remember the color of their stick and then reuse that one.These were great.",false,"[]"
"R2AFUPYFJA49KT","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on November 12, 2022","November 12, 2022",1668211200,"Grammy816",5,"Works for cooking hotdogs","I got these because my dad had made a suggestion that he wanted to try and cook hotdogs in the outside wood burning furnace. These worked. He also used it when he was burning a stump and he fixed us all hotdogs. He really likes them. He really likes the fact that they are telescopic and he doesnt have to be that close to the fire. They are a bit pricey, but they work.",false,"[]"
"R1R7YHAPKSLJ59","B0B1ZSFXXV","","Reviewed in the United States 🇺🇸 on November 12, 2022","November 12, 2022",1668211200,"DjBabs",5,"Adorable little fireplace roasting sticks!","These are much shorter than I had expected, will need to be much closer to the fireplace then normal. But they are super cute and will work as expected.",false,"[]"
