"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R37D1W8Q342DTQ","B07D989J5Y","","Reviewed in the United States on April 15, 2023","April 15, 2023",1681513200,"Lori J.",5,"We use it to leave notes for the family","Better than hunting for a piece of paper and a pen, this Magna Doodle enables our family to leave quick notes for each other (like, “I’ve gone for a walk.Be back in an hour.”). Love it!",false,"[]"
"R2RUGS6UMFDG75","B07D989J5Y","","Reviewed in the United States on April 9, 2023","April 9, 2023",1680994800,"Eloy Hernández del Dedo",4,"Estupendo","Es un juguete estupendo",false,"[]"
"RGXJW258DVRGA","B07D989J5Y","","Reviewed in the United States on March 31, 2023","March 31, 2023",1680217200,"Misti Watson",3,"Ok quality","Things have become so cheaply made. The magnet is hollow and only leaves a dark thick line. Disappointed they don’t make this like it used to be made.",false,"[]"
"R115CCT9L1X8PJ","B07D989J5Y","","Reviewed in the United States on March 29, 2023","March 29, 2023",1680044400,"Katie Harris",2,"Broke after 36 days","Broke after 36 days. I emailed the company, but they never emailed me back.",false,"[]"
"R3BSRP5PU6W91X","B07D989J5Y","","Reviewed in the United States on March 10, 2023","March 10, 2023",1678406400,"Vince",5,"Thinking outside of the box and inside a shower","I needed something reusable to jot down ideas in the shower. Most everything that is advertised as writes in the shower/rain is too small, disposable, or doesn't work with water or humidity. It wasn't until remembering this toy from my childhood that I found something that works. It isn't perfect but good enough to write down some key words and revisit after the shower. As for it's quality, it is pretty much the same as all those years ago; which is also just good enough. The drawings always had a bit of blurriness to them. The ""pen"" doesn't write fine lines. And, it could erase better. But, all in all, it is doing what I need it to do and I'd imagine the kids wouldn't mind the downsides. So still a good gift/toy at a price that seems reasonable in todays market.",false,"[]"
"R3U0LHSQL2KZVS","B07D989J5Y","","Reviewed in the United States on February 27, 2023","February 27, 2023",1677456000,"ISAURA S MUNOZ",5,"Great product","Great purchase",false,"[]"
"RGT7MWKDPJ6LW","B07D989J5Y","","Reviewed in the United States on February 17, 2023","February 17, 2023",1676592000,"Matthew C. Zehr",1,"Can’t see the screen","Like the reviews say poor quality. No matter how you write on it you can’t see it so they must be photoshopping the screen shots. Very very light and no one can see what’s put on it, very disappointing.",false,"[]"
"R3J0YDSZPQEGHO","B07D989J5Y","","Reviewed in the United States on February 14, 2023","February 14, 2023",1676332800,"Amazon Customer",5,"Just what we wanted","Our toddler makes a mess with markers and always loses the caps. This product is a classic for good reason. Clean, durable, affordable, and literally used every day for play and lessons. Great job!My mom (grandma) bought the miniature 4 color version for our the baby bag. It's helped with meltdowns and when playing with friends. Also a good product.",false,"[]"
"R109BPM4HZMNN7","B07D989J5Y","","Reviewed in the United States on February 13, 2023","February 13, 2023",1676246400,"Lucille S.",5,"Great gift","Gift was purchased for a child during the holidays and it was a hit",false,"[]"
"R3IZZ44YXOBNYT","B07D989J5Y","","Reviewed in the United States on February 11, 2023","February 11, 2023",1676073600,"john lackey",5,"Great gift for my Grandson","perfect gift for my 6 year old Grandson",false,"[]"
