"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R5M2JKOOW8URK","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on April 20, 2020","April 20, 2020",1587337200,"Amazonia",1,"Won’t last you longer than a week","Cheap materials, broke, not sure how. Balls won’t drop.",false,"[]"
"R3QL0M1MBH8KF9","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 21, 2020","March 21, 2020",1584748800,"Courtney Woodruff",5,"Awesome educational toy","Super easy for my two and three year old to use. Sturdy product. Definitely recommend!",false,"[]"
"R2KY1VC78ZZHHI","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 18, 2020","March 18, 2020",1584489600,"DT",5,"Kids love magnetic letters","Bought it for my grandson and then 3sets for his preschool",false,"[]"
"R24F07Z1QQI4MY","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 18, 2020","March 18, 2020",1584489600,"Peaceful",5,"Quality learning","Easy to use and sturdy. I have an autistic son who loves using this. It helps him learn the skill of gripping a pen or pencil and moving them in focused direction to write his upper case letters.",false,"[]"
"R3U1MDBDMF2BP3","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 11, 2020","March 11, 2020",1583884800,"Amazon Customer",5,"Proud Grammy","My 4 year old granddaughter loves all these magnet drawing boards!It’s helpful in building her confidence in writing her letters/words and numbers!",false,"[]"
"R1S4MUFPZDF2GW","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 6, 2020","March 6, 2020",1583452800,"morris o wolfe",5,"Wonderful teaching aid","Great tool in helping my autistic son learn the alphabet",false,"[]"
"R104E9ENWAL6W4","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on March 2, 2020","March 2, 2020",1583107200,"coleen",5,"Great","Great",false,"[]"
"R11UECYOULZSMM","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on February 28, 2020","February 28, 2020",1582848000,"Tracy Rhodes",5,"Love","Great learning tool",false,"[]"
"RWHMHRU4ARX0D","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on February 27, 2020","February 27, 2020",1582761600,"Bianca",5,"She’s getting good at it","She Learning how to trace her alphabet",false,"[]"
"R2RZY35311N5PL","B07MKZLRT7","","Reviewed in the United States 🇺🇸 on February 27, 2020","February 27, 2020",1582761600,"S. Garahan",5,"The kids love it!","I wasn't keen on it when it first arrived but my students love it.It's very sturdy and holds up well under active child use and abuse.",false,"[]"
"R259Z5PDK6ANMH","B07MKZLRT7","","Reviewed in the United States on February 21, 2020","February 21, 2020",1582243200,"shopaholic",5,"Fine motor","My kids love it, great for fine motor",false,"[]"
"R287Z1ZIJ4QUYO","B07MKZLRT7","","Reviewed in the United States on February 17, 2020","February 17, 2020",1581897600,"Matthew Smith",5,"My 3 year old and his whole preschool class love it!","It is great!",false,"[]"
