"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2H61IYUPPVVN","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on January 1, 2023","January 1, 2023",1672531200,"Melanie Jaramillo",3,"Easily Damaged","This was amazing in the beginning, but one drop to the floor from our toddler and now it doesn’t erase very well and the designs fade within seconds of drawing on it. Pretty disappointed in this purchase.",false,"[]"
"R1KN7LOF2QOZFB","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 27, 2022","December 27, 2022",1672099200,"Edward Dill",2,"Disappears","We bought this for our son for Christmas. He was very excited when he opened it and played with it right away. Our disappointment mostly comes from the fact that when you use the pen to draw the image shows up and then fades almost completely away within seconds. The magnet shapes work better than the pen but the pen is what’s used the most. I’m not sure if this is the way they all are, or if we just got a defective one; either way, I would not recommend this product because of it. The travel size one work better but the full size one does not work as it should.",false,"[]"
"R1RI3PUIMQ6IMM","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 26, 2022","December 26, 2022",1672012800,"Cierra Lynn",1,"Absolutely trash","The media could not be loaded. Don’t waste your money. The drawing doesn’t last but for a few seconds. Was a Christmas gift for my 2 year old and I’m incredibly disappointed.",false,"[]"
"RB4DME3GDFBNN","B07ZC1GBKW","B07WPXSW37","Reviewed in the United States on December 25, 2022","December 25, 2022",1671926400,"courtney",5,"Nostalgia with an update","This was a gift for a toddler and he absolutely loved it. The toy arrived in perfect condition, on time, and works just as you would expect. Love the ""update"" of them being colored with the magnets and the two sizes to have one for home, and the other for when out and about. Overall, happy with the product and would buy again.",false,"[]"
"R1JBP660676CTY","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 22, 2022","December 22, 2022",1671667200,"Fonstren",1,"Colors barely visible, smaller piece missing","The colors barely come through, very pale, and the smaller piece was missing. Disappointed that it’s not at all giftable.",false,"[]"
"R2V3ZLY445WJHS","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 12, 2022","December 12, 2022",1670803200,"Sue R.",5,"Nice gift for our granddaughters.","Nice gift for our 1 year old granddaughters.They'll enjoy lots of doodling fun!",false,"[]"
"R3RLC1GSI8CLDS","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 3, 2022","December 3, 2022",1670025600,"JK BL M",5,"Toddler Approved","Good product easy to use",false,"[]"
"RDJQFUX6K9G6","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on December 1, 2022","December 1, 2022",1669852800,"Yvette Suzette",5,"Kids church","Great items for our Childrens church preschool class",false,"[]"
"R37YKX0EV9E1UX","B07ZC1GBKW","B07WPXSW37","Reviewed in the United States on November 11, 2022","November 11, 2022",1668124800,"Kindra Manis",5,"There toys are absolutely great for kids","We absolutely love our toys from chuchik my kids play with them everyday they never get board with them thank you for making my kids happy",false,"[]"
"RKU5WUMRLOF1P","B07ZC1GBKW","B07GGRKYMV","Reviewed in the United States on November 8, 2022","November 8, 2022",1667865600,"Pat N.",5,"Unbelievable!","I bought this for my 2 year old grandson on Easter 2022. It has been dropped, Stepped on, thrown and piled on at the bottom of the toy box and it is still working! Good that the pen is attached. The little side magnets are all missing.Wonderful !!",false,"[]"
