"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R13GOZPQ3EFAWB","B081GTG1ZW","","Reviewed in the United States on November 9, 2022","November 9, 2022",1667952000,"Detra Adams",5,"My son loves it","Best gift for my son.",false,"[]"
"RUFKKOP1HR3H8","B081GTG1ZW","","Reviewed in the United States on November 4, 2022","November 4, 2022",1667520000,"Flo Guillenea",5,"Perfect for your toddler!","Our son is three and is loving this new gadget. Perfect because he’s able to carry it anywhere and practice.",false,"[]"
"R34Q99AOI6SALO","B081GTG1ZW","","Reviewed in the United States on November 3, 2022","November 3, 2022",1667433600,"Deborah Holley",5,"Great toy","My grandaughter love it",false,"[]"
"R7STXZREVVXE4","B081GTG1ZW","","Reviewed in the United States on October 26, 2022","October 26, 2022",1666738800,"Kristin Thornton",5,"My Littles live this","This was a huge hit with my grands. I bought two so there would be less fighting. Anything to get them away from the tablet snd phone! Our grandbabies are 5 and under. The oldest 3 love to sit and trace their letters. Even the parents were caught playing with them.",false,"[]"
"RMFIEZON2PNK","B081GTG1ZW","","Reviewed in the United States on October 26, 2022","October 26, 2022",1666738800,"Gracie Presas",5,"Very great quality item","This magnetic game held my toddler grandbabies interest for hours. They really loved it",false,"[]"
"R3OJTWXXIBT911","B081GTG1ZW","","Reviewed in the United States on October 9, 2022","October 9, 2022",1665270000,"Amazon Customer",4,"Fun with the alphabet!","I use this helping kindergarten kids to recognize and write the alphabet.They love it!",false,"[]"
"R18RE7NJTNYF4L","B081GTG1ZW","","Reviewed in the United States on October 9, 2022","October 9, 2022",1665270000,"Michelle Romero",4,"Good product. String too short","Concept and quality of the magnetic board is excellent. Kids really enjoy!String holding “pen” was awkwardly short and needed to be replaced to make useful.",false,"[]"
"R1PJQQ38IAC5V4","B081GTG1ZW","","Reviewed in the United States on September 26, 2022","September 26, 2022",1664146800,"Amazon Customer",3,"Ok but not durable","No very durable kids broke off the own right away you have to go over the same action at least three times to show which kids end up giving up",false,"[]"
"R2DCEBFPEYJGO1","B081GTG1ZW","","Reviewed in the United States on September 20, 2022","September 20, 2022",1663628400,"Amanda ",3,"Overall an okay product","I’m a prek teacher, so my kids loved this. The first day I took it out and let my 9 year old play with it 3 of the magnetic balls got stuck down in the board and wouldn’t come back out. Overall it’s a decent little toy. Kids love it",false,"[]"
"R1DI3UF7L9XW9C","B081GTG1ZW","","Reviewed in the United States on September 8, 2022","September 8, 2022",1662591600,"Krysta",5,"Love it","Wow my child is going to know all of his letters fast with this product!! The magnet and magnet pen allow for a sensory learning experience.Even the big kids love this item.",false,"[]"
"R1PB3N333HOOF4","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on January 11, 2023","January 11, 2023",1673395200,"Lach",1,"Absolutely terrible toy","The magnets are so strong, you cannot glide the pen. It is very frustrating for me as an adult, it's probably even more frustrating for a kid. Plus the magnets get stuck and it's very hard to remove them from the letters in order to use them again",false,"[]"
"R3DABRQUXBIFLQ","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on January 10, 2023","January 10, 2023",1673308800,"Pet",5,"On the go","I love that it has up and lower case, and numbers to guide them.",false,"[]"
"RNIEPUHM3HX24","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on January 4, 2023","January 4, 2023",1672790400,"Ashle Toledo ",5,"Super","Excelente producto",false,"[]"
"R1SG7HEL44KFO9","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on January 3, 2023","January 3, 2023",1672704000,"Dominique Rodriguez",1,"Stuck","Beads became stuck and some wouldn’t come out all the way",false,"[]"
"R1FV6WZ18WZUPI","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on December 19, 2022","December 19, 2022",1671408000,"Amazon Customer",5,"Great for learning","I bought it for my aunt after a stroke so she could relearn writing letters & use it to spell out what she's trying to communicate. The magnets help guide her hand along the shape of the letters.",false,"[]"
"R14I0PN1Q0A16W","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on December 8, 2022","December 8, 2022",1670457600,"Lianna",5,"Tactile and will grow with my children","This is a quality gift and very durable for a 3 year old! I love that the pen is attached and that she can use both her finger or the pen to practice with the letters. I also love that there is a lowercase and uppercase side!",false,"[]"
"R2XNYZ5K6KS8KL","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on November 29, 2022","November 29, 2022",1669680000,"Amazon Customer",1,"Magnet too strong","Purchased for my toddler trying to learn his letters. The magnet was too strong and didn’t allow him to actually trace the letters and grasp the concept. Returned.",false,"[]"
"R2OZOGMKPGM2OH","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on November 23, 2022","November 23, 2022",1669161600,"Yamila Morejon",4,"Calidad en la compra","La compré para un regalo a mi nieta de 5 años le agrado mucho se divierte mucho y además aprende",false,"[]"
"R3PGP4KANNEQ3O","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on November 22, 2022","November 22, 2022",1669075200,"Dawn",5,"Easy, lite & fun","Bought 2. 3yr old & 4 year old. Mom says they use it.",false,"[]"
"R35OE5340B2GYZ","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on November 16, 2022","November 16, 2022",1668556800,"AshAttack",5,"Fine motor skills","This has been great for my daughter, who is learning how to properly hold a pen/pencil/crayons/etc. She likes the sounds that the magnets make when they pop up and really loves swiping the pen over it when she has finished all the letters to pop the little magnetic balls back down.She has no issues using it, she loves it and uses it every night before we read a bedtime story!",false,"[]"
"R2WIRU1NMB4DQG","B081GTG1ZW","","Reviewed in the United States on April 24, 2023","April 24, 2023",1682290800,"Krisztina Lackey",5,"autism friendly","Our son with Autism loves playing with this toy. The magnets make a satisfying snaping sound and it's a great sensory toy in that the magnetic balls snap to the stylus and make the stylus bump up as well. Our son loves letters and numbers and this alphabet magnetic toy is perfect for him. Recommend.",false,"[]"
"R183SJRCH57HNQ","B081GTG1ZW","","Reviewed in the United States on April 23, 2023","April 23, 2023",1682204400,"maria cisneros",5,"Super cool","My daughter really like this like that it guidesher how to write withthe dots",false,"[]"
"R1067YEOQUUP77","B081GTG1ZW","","Reviewed in the United States on April 15, 2023","April 15, 2023",1681513200,"leslie",3,"good product","a little hard on to work with (for toddlers) the magnet tends to pull the hand very quickly. would work better for higher ages where they would be able to hold a sturdier grip. good board.",false,"[]"
"RS648405GAIXP","B081GTG1ZW","","Reviewed in the United States on April 1, 2023","April 1, 2023",1680303600,"VC",5,"This caught the interest of a soon to be Pre-Schooler","This is a one piece, compact educational tool.I have been struggling to help my grandson trace his letters.I know he can do it, but he has no interest.I decided to give this a try and he took to it and has worked with it every day since we received it.He understands the direction he needs to follow to trace the letter and we have made an additional game out of how many words he can think of with that letter that he has completed.He is getting the grasp of upper case and lower case and is recognizing the letters at a greater speed.",false,"[]"
"R3FQ1WVOG7R0U8","B081GTG1ZW","","Reviewed in the United States on March 19, 2023","March 19, 2023",1679184000,"Amazon Customer",2,"Magnets are too strong","Hard for my 4 year old to use nicely. Magnets are so strong, I find her tracing letters correctly",false,"[]"
"R2883AG2L7H1L1","B081GTG1ZW","","Reviewed in the United States on February 22, 2023","February 22, 2023",1677024000,"Jolynn Marlow",5,"My granddaughter learning her ABC's","My granddaughter loves this",false,"[]"
"RYCFHHU3FHXOO","B081GTG1ZW","","Reviewed in the United States on February 16, 2023","February 16, 2023",1676505600,"Carolyn Lacka",5,"Wonderful gift","All ages to use and have fun!",false,"[]"
"R11ZPZGR64U34X","B081GTG1ZW","","Reviewed in the United States on January 29, 2023","January 29, 2023",1674950400,"Jesus Vargas",5,"Perfecto","Perfecto",false,"[]"
"R39JL5P1VNGTVA","B081GTG1ZW","","Reviewed in the United States on January 19, 2023","January 19, 2023",1674086400,"Sarah Lei",3,"Not the best for learning how to write","Great idea, but the pen picks up multiple beads at once (sometimes up to 3) so it's the the best way to learn how to write letters and muscle memory. Sometimes the magnet can also be too strong and have a lot of resistance when writing which makes it awkward.The clicking sound is nice and it is a fun toy, but it's not the best tool for tracing and learning muscle memory for letters.",false,"[]"
"R1RJ6ICMAN30TO","B081GTG1ZW","","Reviewed in the United States on January 14, 2023","January 14, 2023",1673654400,"Breanna",5,"Great for OT","We got this for my toddler after his OT recommended it. He loves it, and I find it addicting myself lol",false,"[]"
"R1ME9RCDX8I2NH","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on September 8, 2022","September 8, 2022",1662591600,"Alexandra Shepherd",5,"Can hear and feel the beads pop up.","This ABC board is great for my son who is a hands on learner. I even enjoy playing with it. I like that my son can hear and feel when he makes the write strokes for a letter. I also like the arrows indicating the proper way to write the letters.",false,"[]"
"R2C4JRPAOHEHO1","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on September 6, 2022","September 6, 2022",1662418800,"Maria",5,"Kids toy","Perfect to teach kids letter",false,"[]"
"R22RSLO2TAW80D","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on September 6, 2022","September 6, 2022",1662418800,"Raelyn",5,"Fun for all ages","My kids, husband, and adult siblings love this thing. It is relaxing to trace the letters and easy to use with kids. A fun and unique way to teach kids their alphabet too.",false,"[]"
"RAKBORSJY408T","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on August 30, 2022","August 30, 2022",1661814000,"DAFNNETTE",5,"Great Item for writing","My 3yr old ability to write",false,"[]"
"R3GC8MVHR4VYTQ","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on August 27, 2022","August 27, 2022",1661554800,"anmurlon",5,"Great for kids of all ages","All my kids loved it, my son who has ADHD was particularly fond of it, I feel because it is much more stimulating than just a pen and paper it got his attention more focused.",false,"[]"
"R1EDIJ7BNCSDGA","B081GTG1ZW","","Reviewed in the United States 🇺🇸 on August 23, 2022","August 23, 2022",1661209200,"Lily",5,"Fun while learning","I bought this for my grandson to practice writing the alphabet, he loves it.The arrows remind him where to start and stop when forming the letters.Well made and durable,great for preschoolers.Lily",false,"[]"
