"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"RCQ827KBQH4ZY","B0BJ94RQFM","B0BJ94RQFM","Reviewed in the United States 🇺🇸 on December 6, 2022","December 6, 2022",1670284800,"Gina Marie",5,"Super cute","Ordered for my nephew and he loved it. Kept him busy for hours, and there's no mess with paints or anything. Cleans up all in a storage bag.",false,"[""https://m.media-amazon.com/images/I/7154zuEF9-L._SL1600_.jpg""]"
"R1YC5SIQ1UU527","B0BJ94RQFM","B0BJ93QN4D","Reviewed in the United States 🇺🇸 on December 5, 2022","December 5, 2022",1670198400,"Shannon Grakowsky",5,"perfect for a learning 3 year old!","This is a fantastic product for my 3 year old who is learning to read and write. I am thrilled with the quality. Would make a great birthday or Christmas present, as it helps with fine motor and grip strength!",false,"[]"
"R1W31R6C3XSSLR","B0BJ94RQFM","B0BJ94RQFM","Reviewed in the United States 🇺🇸 on December 4, 2022","December 4, 2022",1670112000,"Sheri orrick",5,"So nice!","So many fun things with this. Nice size. Quality made. Pretty.",false,"[""https://m.media-amazon.com/images/I/71FLEbLCNGL._SL1600_.jpg""]"
"R3S4J7Q55VR33C","B0BJ94RQFM","B0BJ93QN4D","Reviewed in the United States 🇺🇸 on December 4, 2022","December 4, 2022",1670112000,"J. Chandler",5,"Perfect Gift for Younger Grandkid","My granddaughter loves this doodle toy. She is three and knew immediately how to use the magnetic pen and erase the screen. Unlike other magnetic boards, this one provides multiple learning games in addition to drawing: shapes, colors, puzzles, and more. The 7 in 1 activity board design means toddlers will enjoy for several years. A mesh storage bag is included for the beads and string. Recommended for hours of fun.",false,"[]"
"R33PMY3R5F1504","B0BJ94RQFM","B0BJ94RQFM","Reviewed in the United States 🇺🇸 on December 3, 2022","December 3, 2022",1670025600,"Pandagurl",3,"Very light colored magnetic writing","I got this magnetic drawing board for my son. The writing on it shows up quite a bit lighter than other boards, so its more difficult to see whats being drawn. Especially with the yellow section its much less readable. The magnets shapes work well along with the pen aside from the light readability on the magnetic board.The beads on a string don’t really match well with the picture since you can only stack the beads on top of each other and the beads on a sting picture shows a side profile, which confused my son. I would suggest looking for a different magnetic board that is much more readable.",false,"[""https://m.media-amazon.com/images/I/71Zsj768EuL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71gsnZLWU7L._SL1600_.jpg""]"
"RJO02GUUMBQV0","B0BJ94RQFM","B0BJ94RQFM","Reviewed in the United States 🇺🇸 on December 2, 2022","December 2, 2022",1669939200,"daniela collins",5,"Toddlers will love this","This drawing board is immensely versatile and will keep toddlers busy, especially in a car or while traveling. It also allows kids to draw inmultiple colors, comes with its own bag, beads, strings and boards. Fine motor skills as well as creativity and imagination will be fostered as kids engage with this awesome multi function board. My grandson is trying it out today.",false,"[]"
"RDBG1JLGSINAR","B0BJ94RQFM","B0BJ93QN4D","Reviewed in the United States 🇺🇸 on January 30, 2023","January 30, 2023",1675036800,"Melissa Burns",5,"Perfect for traveling","I would highly recommend this for the following:⭐️ It’s exactly as described - easy to travel with, durable and great value as there is so much to do⭐️ The quality is as expected for the price range, and honestly, exceed my expectations⭐️ The value for what you get is great - I’d be happily purchasing this at the price point. I’ve gotten several of these in different values and sellers, and can say that this is very equal value to the price you pay⭐️ Highly recommend for both a self present or a gift for someone⭐️ I would recommend to family and friends",false,"[]"
"R17R3Y9UHB675M","B0BJ94RQFM","B0BJ93QN4D","Reviewed in the United States 🇺🇸 on January 3, 2023","January 3, 2023",1672704000,"Jenna",5,"My 2 year olds favorite toy","My 2 year old had a magnetic drawing board he used so much the eraser ended up breaking. I replaced it with this one and it's even better than the Melissa and Doug one he had originally and he carries it everywhere. The fun colors when he draws on it and the durability makes it the perfect gift for any drawing obsessed toddler you have in your life without the worry of the mess that comes with markers and crayons. A great on the go toy when we go on road trips or run errands.",false,"[]"
"R3187JNUZCT88J","B0BJ94RQFM","B0BJ93QN4D","Reviewed in the United States 🇺🇸 on December 31, 2022","December 31, 2022",1672444800,"PhatnHangry",5,"Great Busy Board for Kids!","The media could not be loaded. Great Magnetic Drawing Board and peg board!I like the different activities and shapes.For the price and different activities this is a great gift or purchase.We bought this for our niece and she loves to scribble. The materials are high quality and can be wiped off easily.The little bagwas a nice touch especially for the small pieces since those get lost easily.I also like the wide drawing area.Overall this was great product and I would recommend this product to anyone that has a busy little kid.Hope this was HELPFUL.",false,"[""https://m.media-amazon.com/images/I/61G8fB5QhtL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71+A1WGOprL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71dO5msVYGL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71rNo5ejRVL._SL1600_.jpg""]"
"R3L7F5CI4OWEAG","B0BJ94RQFM","B0BJ94RQFM","Reviewed in the United States 🇺🇸 on December 30, 2022","December 30, 2022",1672358400,"Ryan M. ",5,"Nephews loved it!","I gave this drawing/activity board to my toddler nephews for Christmas, and they loved it! So many ways to learn and have fun, and it's way cuter than an Etch A Sketch. ;)",false,"[]"
