"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1ZXE8TQK0FT3V","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 24, 2023","March 24, 2023",1679616000,"Tessa",4,"Fun activity for the car","This is such a fun idea!! This looked like a great new activity for trips in the car, and both my daughters are having a blast using it. The included cards with ideas to replicate on the board are really fun, although I wish there was a place to store them on the back!! But being able to stand them up in front is great. It's really fun and easy to use, and feels like decent quality materials. The clear plastic front was already getting scuffed from use on the first day, which is a little disappointing, but doesn't bother my kids or interfere with its use. I love that there's no way to lose any of the pieces, and it's encouraging kids to be creative and get away from screens.",false,"[""https://m.media-amazon.com/images/I/717fY-3X3iL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/816z00WbgOL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81A-nxg5TXL._SL1600_.jpg""]"
"R2J49GR64OY9LI","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 23, 2023","March 23, 2023",1679529600,"Sharon hicks",5,"Super fun","This was so much fun . Easily the best thing for your little one .",false,"[]"
"RT2T64BFDXGND","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 23, 2023","March 23, 2023",1679529600,"JW",4,"Sturdy. Cards will get lost easily.","These magnetic boards are cool. All the pieces are the right way (I've had some that were turned around and it was obvious). They do look like candy so be mindful that it doesn't break and children try to eat the magnets. Bad news. Otherwise I like that it has a tie on the pen. It's easy to move the pieces, just make sure the pen is straight up and down. The only thing that is a bummer is that there's no where to store the cards. I would think some built-in clips or a pocket to hold them onto the back of the board would have made sense. There's room for that. Alas, they'll most likely get lost. Bummer that it wasn't thought of in designing.",false,"[""https://m.media-amazon.com/images/I/61Q1q0MFETL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71aJvK6FQML._SL1600_.jpg""]"
"R2T2CS2MOK4906","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 22, 2023","March 22, 2023",1679443200,"Kathryn M.",5,"Adorable and functional, great for travel.","The media could not be loaded. This one actually works. I have tried a couple that haven't functioned as they should. This is a better quality construction than some of the others out there. The magnets are about the same diameter as an M&M, but not only about half as thick. The magnetic wand works great to grab them, and the plastic cover is sturdy, but still thin enough to allow you to move them freely. This is a winner in my book. I will be keeping this around for the grandkids. Great for travel because it's all contained (except for the cards) and the wand is attached. Great toddler toy.",false,"[""https://m.media-amazon.com/images/I/71lxvUkyxKL._SL1600_.jpg""]"
"R1U3DIL7TTG9ZC","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 22, 2023","March 22, 2023",1679443200,"mlv",5,"Cool toy","The media could not be loaded. This is such a cool toy. I thought at first, too many beads to loose, not getting it. Well, the magnetic beads are completely contained behind plastic.Your child would have to damage the toy to get them out. You use the magnetic wand to grab the colored beads to make a pattern or your own drawing. It is easy. This would be great for improving motor skills, learning colors, following a pattern, all with no electronics involved. I even enjoyed trying it! I would say this would be for ages 3-8.",false,"[""https://m.media-amazon.com/images/I/71FWlbCesfL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71NZr7VbhNL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71bxKx+y0XL._SL1600_.jpg""]"
"R3H7O1OT1ZBW8U","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 21, 2023","March 21, 2023",1679356800,"J. Dervan",5,"Fun for Kids!","This drawing board is perfect for many different aged children. There are no little loose pieces. This board is perfect for home or for traveling. A child could be entertained for hours while riding in a car. You can use the pictures that come with it, or be creative and make your own. We like to do both!",false,"[]"
"R1Z0MCJP5RRMEQ","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 21, 2023","March 21, 2023",1679356800,"gonxkillua",5,"Magnetic pixel drawing board","The media could not be loaded. Perfect for kids. Easy to move pieces. Magnetic has a tring attached so you don't lose it. There 20 images provided to get you started.",false,"[""https://m.media-amazon.com/images/I/51uf1NFDySL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/719oLkfn1gL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71d+iiSDFFL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71sr9DjcyiL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71v8jHi8oUL._SL1600_.jpg""]"
"R3HEA27FBDTQB0","B0BVDJ78SV","","Reviewed in the United States 🇺🇸 on March 20, 2023","March 20, 2023",1679270400,"Kidsmom101",5,"So fun","My daughter hasn’t stopped playing with it, skys the limit with her imitation ! I love it",false,"[""https://m.media-amazon.com/images/I/71yCUY6jrRL._SL1600_.jpg""]"
"RZ8JQD19KX3UO","B0BVDJ78SV","","Reviewed in the United States on April 15, 2023","April 15, 2023",1681513200,"Jerry Pham",5,"A Fun and Educational Doodle Board for Kids","I recently purchased the Cheffun Magnetic Drawing Doodle Board for my son, and it has quickly become one of his favorite toys! The large magnetic board and colorful magnetic dots provide endless opportunities for creativity and imaginative play.I appreciate that this toy also has educational value, as it encourages fine motor skills and hand-eye coordination. It's also a great way for kids to practice drawing and writing without wasting paper.The board is well-made and durable, and the magnetic dots are strong enough to stay in place but easy enough for little hands to manipulate. It's also easy to wipe clean when playtime is over.Overall, I highly recommend the Cheffun Magnetic Drawing Doodle Board for Kids as a fun and educational toy for kids of all ages. It would make a great Easter or birthday gift! 5 stars!",false,"[]"
"R3G5NAMM7Y514M","B0BVDJ78SV","","Reviewed in the United States on April 12, 2023","April 12, 2023",1681254000,"BritniFowler",5,"Easy to use","I got this for my 3 year old. She gets frustrated trying to make the pictures included but it’s a fun challenging activity. The magnet works well and it’s easy to reset and do over and over again. Also lots of room for creativity and learning.",false,"[]"
"R2MU4DBK9DIALB","B0BVDJ78SV","","Reviewed in the United States on April 5, 2023","April 5, 2023",1680649200,"Kendra",5,"Excellent toy for a toddler or preschooler","I am using this as a quiet time activity in my preschool classroom, and it's just what I needed it to be. The examples are easy for an adult to follow, but there is a lot of counting and space management, enough to keep a child quite engaged. The toy is nicely designed with things like a space to stand up the pattern as you're following it, and the pen is attached. All the magnets are behind plastic, so there is no mess or fear of pieces getting lost. I would love it if there was a pouch on the back for the patterns, but I have put them in a bag and so far nothing has happened to them; we just keep the bag and the board together.This would be a great toy for a car trip, quiet time, or any time a child could use something to do that is creative, a little challenging, quiet, and easy to clean up!",false,"[]"
"R1X1SRH0KLU2VB","B0BVDJ78SV","","Reviewed in the United States on April 4, 2023","April 4, 2023",1680562800,"M. Mitchell",5,"Improvement on an old classic","I really like this toy.Here's what my hubby said about this product after playing with it. ""What a great idea!A drawing board with no mess and no parts to lose!Kids will have a great time recreating the included patterns or creating their own masterpiece.Hours of fun for sure.Great for car rides too.No more ""are we there yet""!This is a sanity saver for parents!He also said that it looks like chocolate candies inside the board so it may even cause some chocolate cravings!It reminds me of the old light bright game that I loved as a kid. The only problem is that you lose the little pegs and the vacuum would eat them. This really is an improvement on it. You don't have to purchase more of the black papers to put into the machine. It's self contained.It's such a great gift for a creative child who loves to draw, but their drawing surface sometimes includes the walls of the house! Been there too many times.I like that it also is fun for adults. Kind of like those coloring books for adults.The plastic is good quality. I worry about the surface getting scratched up over time. it would be great if there was a 'screen protector' that you could just pull off when it gets scratched and throw on a new one.There will be many hours of fun from this creative toy. And the bonus that I really like is that there's nothing electronic about it! A win-win.",false,"[""https://m.media-amazon.com/images/I/71Gm-PW-c6L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71WGN6vYeoL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71ufPICkpBL._SL1600_.jpg""]"
"R1RWETKYY3G86G","B0BVDJ78SV","","Reviewed in the United States on March 28, 2023","March 28, 2023",1679958000,"Kim Bonifacio",5,"My Nephew love it","My nephew love the doodle art work, a lot of patterns they could do. Good for kids who loves art. Five colors for the magnet.",false,"[""https://m.media-amazon.com/images/I/71jLg22dz7L._SL1600_.jpg""]"
"R26T05RSJUCN0L","B0BVDJ78SV","","Reviewed in the United States on March 27, 2023","March 27, 2023",1679871600,"Ripal",5,"Mangticficent toy","Its very good interactive toy for kids. No mess while playing that make it amazing. Everytime i dont have to worry about clean up and kids loving it. Really nice toy.",false,"[]"
"R9BV2XAMEHUR6","B0BVDJ78SV","","Reviewed in the United States on March 27, 2023","March 27, 2023",1679871600,"Angie Thornburg-Fimpel",5,"Neat little magnetic board!","This came exactly as pictured and described! It's well made and works as it should! The front is covered in clear plastic with the little metal discs behind it, you move them with the magnetic pen.",false,"[]"
