"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1W0RO7OFVPXGS","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States on December 6, 2022","December 6, 2022",1670284800,"Sarah",5,"Fun!","This little drawing tablet is so fun. Perfect for car rides to keep my daughter entertained. It's really lightweight which is great for small hands and provides hours of entertainment on long rides. Love it!",false,"[]"
"R3GQR58P367BS7","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States on December 5, 2022","December 5, 2022",1670198400,"David A. Baer",5,"A very nice tablet for a learning-oriented toddler.","We acquired this LCD Writing Tablet for a precocious grandson.This is a nice tablet with a lot of versatility for a learning-oriented little one.The tablet works perfectly out of the box. It’s also a nice size.",false,"[]"
"RWBL936OVC76G","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States on December 2, 2022","December 2, 2022",1669939200,"Ty'sCasey",4,"It's decent.","This tablet is decent. I don't feel the colors are very bright (the picture I took shows it off better than it actually is), and I did feel like the box implied that it would have more colors than it does. The box also suggests that if a child jumped on it, it would be just fine. I highly doubt that. I'm not gonna have a kid try it, but it's a flimsy plastic board. It's not meant to endure a human jumping on it. Anyway, my kids are enjoying it, it gets pulled out regularly, so good enough. I just wish the advertising was more up front.",false,"[""https://m.media-amazon.com/images/I/71loXZWhxFL._SL1600_.jpg""]"
"RPKL3XA3MYSOJ","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States on December 2, 2022","December 2, 2022",1669939200,"Bianca Ramirez",5,"Cute","Our gift from Santa this year to match her brothers. Such a cute alternative to using paper",false,"[]"
"R2BIZEJJK2EJS","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States on December 2, 2022","December 2, 2022",1669939200,"K. Mair",5,"Great Fun for Kids","I wish I could estimate how many sheets of paper this has already saved. I ordered some of these to have on hand not knowing if the kids would like them but they were such a hit I ordered another one to have one for all of them. All of the kids in my family LOVE this toy. It's easy to use and allows them to draw over and over again. The size is manageable for even the youngest and they erase fairly well even after multiple uses. The only complaint the kids have about them is they can't control the colors and they can't keep what they draw after they're done if they want to use it again. Most of the time though, their desire to draw more eventually outweighs their concerns fairly quickly. This is also reasonably tough and has withstood being dropped a few times by overeager kids. It's reasonably priced and I would recommend one for every kid who loves to draw A LOT. You'll save a crazy amount of paper.",false,"[]"
"R30KQJM050HB4B","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States on December 1, 2022","December 1, 2022",1669852800,"Lynn R.",5,"Cool toy for the Grandkids","This is a great writing board for kids.My grandkids go through enough paper drawing that I should own stock in a paper company.Lots of it just scribbles and such.Doesn't matter with this board.They can produce something really artistic or they can scribble.Just push one button and it's gone and ready for the next masterpiece.Simple to use.Just pull out the stylus and draw.You can use pretty much anything that puts a little pressure on the board but the stylus has a tip that shouldn't damage it.There is also a lock button so you can't erase accidentally.Just so you are aware, you can't choose the color that you are drawing.Different parts of the board produce different colors and it never changes.In the Amazon listing they don't say you have control of the color but they don't say you don't have it either.It's not clear.It works well.It's very light and not sure how durable it will be long term but the grandkids like it.They fight over it so that's how I know.",false,"[]"
"R2Y9FDMCNZNVVN","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States on November 30, 2022","November 30, 2022",1669766400,"L. Pederson",4,"Great for kids!","The media could not be loaded. Hey, this is fun! Reminds this 62 yr old of an Etch-a-Sketch without the frustration and more freedom! This tablet came well-packaged in an appropriate-size box from Amazon. The product is in new condition. READY TO USE right out of the box, it comes with the CR2032 3V battery already installed. A stylus is attached at the top to prevent losing it. (You need the stylus, fingers don’t work!). When you draw on it, the text or lines of drawing are MULTI-COLORED for a fun twist. The tablet is very LIGHTWEIGHT with plastic of your color choice around the screen. It’s well-constructed but probably wouldn’t stand up to a lot of rough play or drops. It comes with a cord to connect the stylus to the unit, a writing and drawing “copy” book your child can use to learn how to draw and write, a contact and thank-you card. Instructions come in English and other languages, though there’s not much to learn. I would have given the product 5 stars except that the Erase Button (which you can lock!) can only erase EVERYTHING on the screen, not just the last line drawn which is disappointing. I think my nieces, age 6 & 8 will enjoy these. They came Monday after Black Friday ordering!",false,"[""https://m.media-amazon.com/images/I/61IoH-wHNJL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/61iOQOtaoOL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/711UcgqXBvL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71s9iCW7X1L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71xNaSY7r-L._SL1600_.jpg""]"
"R5O0158L4IPMF","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States 🇺🇸 on April 19, 2023","April 19, 2023",1681858800,"Liz Ouellette",5,"Works good","A good tablet it works well perhaps not the quickest but it's not bad",false,"[]"
"RI4USEVKJI6TA","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States 🇺🇸 on March 1, 2023","March 1, 2023",1677628800,"Mandee",5,"Big screen, nice color","Nice product. The pen glides smooth and the color is bright. The swirl string that holds the pen onto the tablet to stretchy and strong. The screen is pretty durable. My toddler scribbles rough on it and it’s still holding up strong! Great item. Easy to use. & it even has a Lock Screen option! Super nice.",false,"[]"
"RCNTNOP9LVP35","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States 🇺🇸 on February 24, 2023","February 24, 2023",1677196800,"PRETti-naILS by tina marie",5,"Works great!","I ordered this for my daughter for Christmas.She is 8, and she absolutely LOVES using this writing tablet for drawing pictures. It is now 3 months later, she uses it on a daily basis, and it still works just as great as it did on the day she first opened it. I would definitely recommend this product to others,i have 4 kids and we have tried alot of similar products over the years. This one here is definitely better quality and more durable than some of the other ones that weve owned in the past.",false,"[]"
"R2VY05GN6XKC0H","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States 🇺🇸 on February 6, 2023","February 6, 2023",1675641600,"Orlando Santos, Jr.",4,"Great for Special Needs Children","I picked this up for my special needs nephew and he absolutely LOVES it! It’s his favorite thing to play with as he enjoys scribbling on it. He can be on it hours at a time just scribbling. I think he finds it soothing, but I love seeing him play with it. Definitely recommend it.",false,"[]"
"R1N9168XLRWC1X","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States 🇺🇸 on January 15, 2023","January 15, 2023",1673740800,"steve trinh",5,"Great for a pre-schooler","I got this for my neice to practice writing & drawing without wasting paper. There is a stylus attached by a lanyard so no risk of losing it but any hard object can be used to write on pad.Included coin battery is protected by screw retained cover for safety. I'm thinking of getting one for myself to use instead of scratch paper or post it notes. No radiation to the eyes to worry about, and accidental dropping is not as catastrophic as dropping an iPad. Educational value is only limited by the child's imagination.Learning math, cursive writing, times table, etc.I can see this being used in a kindergarten classroom. I think this pad is a better alternative than a dry erase board because you don't have to replace the marker.",false,"[]"
"RWABTTRI8SXZQ","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States 🇺🇸 on January 15, 2023","January 15, 2023",1673740800,"MUNDY C",5,"Great and Priced Right","My neices loved this drawing tablet and loved the fact that they draw new images over and over again. Simple and Fun for everyone.Oh yea No WiFi needed. A nice to fun change for the tech world we live in now.",false,"[]"
"R18QRKCC47MFXD","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States 🇺🇸 on January 4, 2023","January 4, 2023",1672790400,"Dr. Karakaplan",3,"It is not LCD","This tablet would be great for a car ride and attract the attention of your kid for about half an hour, but do not have high expectations. Technically, it is an LCD, but not necessarily what you think. LCD means liquid-crystal display. The colors that you see in this tablet have nothing to do with LCD. They are just a fixed background that you get to see once the black LCD is ""erased"" with the stylus. Also, the colors are not as bright as they are depicted in the product page. So, this product is like Magna Doddle but its black-white counterpart with a colorful background and a battery-powered ""erase all"" button. It is easy to use, it is light-weight, and you can turn off the ""erase all"" button.",false,"[]"
"R3RKXAINQKG3EE","B0BXX7Y9K8","B0BJ76HTM4","Reviewed in the United States 🇺🇸 on December 29, 2022","December 29, 2022",1672272000,"Matthew",5,"Great little product","I was going to give 4 stars just due to how little color variation there was but then I remembered this is under $20 and my kiddo has been playing with it and drawing on it for days now. For that price and it holding up I think it earns its 5 star rating.Will be using it to help teach the kiddo to write letters and numbers later on. These boards are honestly great for many uses, we have another one command stripped to our fridge to write shopping lists on. Overall great under $20 gift idea.",false,"[]"
"R21Z0R2CA3U7MS","B0BXX7Y9K8","B0BJ774VX7","Reviewed in the United States 🇺🇸 on December 23, 2022","December 23, 2022",1671753600,"Tany Pal",5,"Fun and easy to use","I love this little board. You can write or draw anything on it then just push a button and it all erases.It's very lightweight. I bought it for my grandkids, but I've found me using it quite a bit in my home office:)",false,"[]"
