"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3SJTXFBB2A7EA","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on January 27, 2021","January 27, 2021",1611705600,"Tara",5,"Totally recommend!","My kids keep coming back to this to play with it. Sensory stimulator! Endless creativity options. So fun to play with, even as an adult.",false,"[]"
"RT6EVUDNRMI7Y","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on January 21, 2021","January 21, 2021",1611187200,"Amber olmos",2,"Does not glow in the dark.","Not sure why, but ours sure does not glow, & the pen was immediately lost. I wish it were connected.",false,"[]"
"RNACYE4MMFKHX","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on January 12, 2021","January 12, 2021",1610409600,"Eva Lozano",5,"Fun","Cute activity for kids",false,"[]"
"R3RB2543XP4OOZ","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on January 12, 2021","January 12, 2021",1610409600,"Michelle Miller",5,"Fun sensory toy","Fun sensory toy for everyone!",false,"[]"
"R1Z8DEWV7Q2DTU","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on December 27, 2020","December 27, 2020",1609027200,"Boyzoo",3,"Some are hard to reset","My kids lost interest in this quickly.Some of the pegs are hard to reset as well.It is heavy and seems well made, though.",false,"[]"
"R35ZG9RIP3E9S0","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on December 24, 2020","December 24, 2020",1608768000,"Eric and Liz Aderhold",4,"Pretty nice!","My sons (ages 5 and 2½) both like this toy pretty well. It offers a pretty nice sensory experience: it exercises sight, sound, and touch simultaneously while drawing a picture. The stylus pulls the magnetic beads up pretty easily. The first time we opened it some of the beads got stuck in the ""up"" position and were quite hard to push back down again, but after a couple of times it's much easier to reset the toy to a blank slate again. My older son really likes things that glow in the dark so that aspect did appeal to us, and the case does definitely glow in the dark, but the design they've created is difficult to see when in the dark. Furthermore the blue color doesn't have the most contrast with the silver beads in the light, so it can even be hard to see the design in full light. Still, it's a nice fun toy.",false,"[]"
"R3NI3RZYJUZ76C","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on November 3, 2020","November 3, 2020",1604361600,"DebraS",5,"Great Toy","My daughters have had hours of fun with this Magnatab.It is small enough to take for traveling too.",false,"[]"
"R201LAUU15NVS0","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on October 24, 2020","October 24, 2020",1603494000,"Todd W.",5,"Cool toy for Christmas!","Really cool toy, really great for small motor skills and imaginative play.",false,"[""https://images-na.ssl-images-amazon.com/images/I/716cE55NFCL._SL1600_.jpg"",""https://images-na.ssl-images-amazon.com/images/I/81uRvdg5waL._SL1600_.jpg""]"
"R3FR0HP5Y01AO1","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on October 14, 2020","October 14, 2020",1602630000,"Lehigh History Student",4,"Great for sensory feedback","All of the Magnatab products provide great sensory feedback while giving kids a unique way to learn or be creative. The glow in the dark model adds the benefit of being the perfect size for taking on trips or slipping into a busy bag. I’m not sure what scenario I’d imagine wanting this product to glow in the dark as it’s quite noisy, so it wouldn’t work well for calm environments like bedtime. We haven’t been able to get much glow so far, but again, I can’t think of a time I’d want it to aside from the novelty.",false,"[]"
"R27R936S66HQOA","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States 🇺🇸 on October 13, 2020","October 13, 2020",1602543600,"Nan W.",3,"Not Excited","Three stars because, I probably would not have purchased it but glad I did order it.The four and two year olds liked it. I guess in the current world of high technology this toy isn’t very exciting.",false,"[]"
"R2LT3IG1PHGLW2","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on December 22, 2021","December 22, 2021",1640131200,"Karen ",5,"Perfect!","Great for in the car! Great for every age!",false,"[]"
"R3JO1W8NO35G82","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on August 29, 2021","August 29, 2021",1630191600,"Julieann Dellibovi",5,"Excellent toddler activity","We bought this for our three year old to play with at restaurants, car rides, etc. and it’s perfect for that. She can be creative or just mess around pushing the magnet balls back in the holes. It’s compact, has a place for the “pen” which is such a life saver. It is a little noisy, but you don’t notice it when you’re in a restaurant or any other space with noise.",false,"[]"
"R33TL6APZEFYJC","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on August 14, 2021","August 14, 2021",1628895600,"Jenna B.",5,"So fun","Perfect gift",false,"[]"
"RA1WCB6G94N1F","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on August 13, 2021","August 13, 2021",1628809200,"Meredith",1,"Danger to kids","Everyone in my family from the adults to the kiddos has absolutely loved them & they make fantastic car toys.However, within a month of our purchase one of the metal balls actually fell out of the board. There are twin 20 month olds in the house and I have no way of knowing where that metal ball may be. I most definitely know though that I don’t particularly want one of them to find it an eat.And while everyone has loved it we will unfortunately have to toss it & we will not be replacing it.",false,"[]"
"R35FTQ37TKJTYV","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on July 18, 2021","July 18, 2021",1626562800,"Gail Stracke",1,"Returned it!","Didn’t glow very well in the dark. Hard to see the beads from the background.",false,"[]"
"RHY3SNG0432WX","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on May 10, 2021","May 10, 2021",1620601200,"CLTRK",1,"Didn't love it.","Ehh- not very quiet and didn't really flow. Returned.",false,"[]"
"RU1H354PXG7ML","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on April 26, 2021","April 26, 2021",1619391600,"Daniel E.",3,"Great if you don’t lose the pen","Love this toy! Except the pen gets lost immediately and renders it unusable. Would be great if the pen was attached by a string on some way.",false,"[]"
"R195OWPPKTSANL","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on April 10, 2021","April 10, 2021",1618009200,"Genesis alberto",4,"It’s alright I like it!","I like this product it really nice I love the popping and it a little to loud and it hard to pop it sometimes I won’t receded for Trypophobia people but over all i think it’s great",false,"[""https://images-na.ssl-images-amazon.com/images/I/913jKP41GqL._SL1600_.jpg"",""https://images-na.ssl-images-amazon.com/images/I/91ezqY1JCfL._SL1600_.jpg""]"
"R1NIKSSDXG8DVJ","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on April 6, 2021","April 6, 2021",1617663600,"Connie",5,"Red Vs Blue?","I was torn between whether to get the red or light blue Magnatab, and chose the light blue for the glow in the dark feature. However, it barely glows, so don't choose it for this reason alone. The red has a better contrast between the silver beads and the background color, so visual detail is better. The blue one has a slightly larger size, if that's important to you, but I'm not sure it's enough to justify the price difference, since the glow in the dark feature doesn't work so well. Beyond that, the Magnatab is a great toy. The beads were really hard to push out the first use, but after that they came out easily. The toy is well made, simple to use, and a good ""non-electronic"" option to entertain bored hands.",false,"[]"
"R1SD1UJ4TO7UD2","B085Q3TLF8","B085Q3TLF8","Reviewed in the United States on February 6, 2021","February 6, 2021",1612569600,"Taresa M. Warren",5,"Amazing for tiny hands that need to keep busy","We love this product! Keeps hands busy!",false,"[]"
"R32LJLGMV638GA","B085Q3TLF8","B09R9NNNGN","Reviewed in the United States 🇺🇸 on April 1, 2023","April 1, 2023",1680303600,"Yeliz Bariskan",5,"Great gift for your kid","It is a perfect gift for my son. He couldn’t leave it even one sec since we gave it :))) he is obsessed with it. It is also great to be able to practice letters and numbers. We found so many product like this on the internet but this one is really in good quality. I highly recommend it.",false,"[""https://m.media-amazon.com/images/I/71JQ12EfFwL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71gt3yAXCNL._SL1600_.jpg""]"
