"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R30EEHV65UQQA1","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 13, 2023","June 13, 2023",1686610800,"Amazon Customer",5,"Not easy to put together","Guess you have to be a young college student to put these together.Husband and a friend (both in commercial construction) could not put these together easily.So we paid a college student studying horticulture to put them together.Going to be very pricey veggies!!",false,"[]"
"R383U7SYAH8J1D","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 12, 2023","June 12, 2023",1686524400,"Morgan Walker",3,"Screws and Bolts 0/10","The worst thing about this product is the fact that 5-10 bolts do not fit with with the screws. It took an extra hour for assembly and I still did not have bolts for the last three screws.If this were not an issue, assembly would have been seamless and much less stressful.",false,"[]"
"R3OY1DWUX01ZIS","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 10, 2023","June 10, 2023",1686351600,"JenX",5,"Great height","This was *almost* a two person job, but I managed to do it myself. Ideally you'd want a 2nd person to hold up the sides while you connect the ends, but you can lean it against a couch or chair. I recommend filling via the ""hügelkultur"" method to make your job of filling easier and less expensive - this will take a LOT of soil otherwise. Be sure to insert the center cross bar midway, and not too close to the top or bottom, otherwise the sides will bow out after it's filled. The height is great for those with bad backs!",false,"[]"
"R102G82QCNDO2U","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 9, 2023","June 9, 2023",1686265200,"BJS",2,"Nice product but packaging and assembly is terrible","Every piece in this kit is covered in a sticky plastic film that has to be removed. It is tedious and annoying to do. Takes longer than actual assembly. Was also missing some hardware for all 3 of these that I purchased. Seller shipped new hardware when contacted but should have been in the box from the beginning.",false,"[]"
"R1BIQ6S15UE28N","B08X2324ZL","B09TQ6B8V6","Reviewed in the United States on June 7, 2023","June 7, 2023",1686092400,"rebecca",5,"Sturdy","The raised bed was easy to put together. It’s much sturdier than a different one I purchased. No sharp edges. It looks great",false,"[]"
"R1JLR2AAS4E7Y4","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 7, 2023","June 7, 2023",1686092400,"Dede",3,"Chinese product for sure","Initially I thought this product was going to be good then the assembly started. The bolts had burrs, threads that were messed up but most disappointing is the center brace that keeps trying to fold up while installing. I would NOT recommend this except the size is good for what I needed it for.",false,"[]"
"R3SVWCMKZBABHL","B08X2324ZL","","Reviewed in the United States on June 5, 2023","June 5, 2023",1685919600,"H Sanders",5,"Fabulous!","I purchased a 6x3x2, 8x2x2 & 4x2x2.They were fairly easy to assemble.Much easier for 2 people especially the larger 2.They look beautiful and are easier to work on after they are planted since they are 2 ft off the ground.I am 72 years old and love them.I have only planted the 6ft one since I am waiting on getting top soil for the other 2.I really like the rubber gasket that goes around the top since the edges are sharp.I wish the gasketwas just a bit longer.I cut the sides a little bit short so I could cover the corners with the left over gasket from the 4 sides. Since they are so big, even the 4ft one, it does take a lot to fill them with soil unless you have mulch, branches, etc. to help fill the space. Since I have notplanted the 8ft and 4ft ones, I am putting all my lawn clippings in them to help fill them up so I won't have to have as much top soil.I would highly recommend this product.",false,"[]"
"R3IPONZH063967","B08X2324ZL","B09TQ6B8V6","Reviewed in the United States on June 3, 2023","June 3, 2023",1685746800,"Born to Travel",4,"Nice buy with a couple of minor issues","Let me start with the instructions are minimal and not helpful.But it is a rectangle and easy enough to figure out.We assembled it into two halves.To make it a bit easier, we set up a six foot folding table to assemble each half on.Then we joined the two halves on a flat surface (garage floor).It was pretty straight forward.We did find the flipping it over to tighten the bottom two rows of wing nuts was less stressful on our backs.By the way, enlisting a six year old grandchild to stand inside and turn the wing nuts was an excellent idea!The cross bars are needed to try to square everything up and prevent blow out, but they are pretty flimsy and bent when the landscapers dumped dirt into it.They were easy to straighten out.It took two skid steer scoops to fill it after following another reviewer's suggestion of lining the bottom with cardboard (lots of cardboard) and limbs and sticks.I'm not sure how many bag of soil that would be.I purchased the unpainted garden and I can tell you that the reflection off of it is quite intense. It can be rather blinding.All in all, I'm happy with it and looking forward to getting my plants in it.",false,"[]"
"R10J8VG9QZSKX4","B08X2324ZL","B08X2324ZL","Reviewed in the United States on June 3, 2023","June 3, 2023",1685746800,"Christine Mellroth",5,"Quality and beautiful","I LOVE THESE!After I bought the first one I was so thrilled I bought 2 more.They shrink wrap the metal to protect it. Then peel it off after put together !!! I cannot say enough how fantastic these are. I am a life long gardener and at 70 I am happy not to bend over to weed",false,"[""https://m.media-amazon.com/images/I/81bv1V1z7FL._SL1600_.jpg""]"
"RM67QOQ7UZ9T9","B08X2324ZL","","Reviewed in the United States on June 2, 2023","June 2, 2023",1685660400,"Sierra",5,"Easy assembly and good value","The media could not be loaded. Quality came in nicer than expected for the price. The wood grain looked cool and it was simple to assemble, however I ordered two and it was time consuming. Over all really happy with the results and they are very large and took A LOT to fill.",false,"[]"
