"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2Y6GNLQWR5F0R","B091325ZMB","B091325ZMB","Reviewed in the United States on June 3, 2023","June 3, 2023",1685746800,"Johnnieperry",5,"it look good","like goodproductgood looking",false,"[]"
"RAT6JD8O1FFHS","B091325ZMB","B091325ZMB","Reviewed in the United States on May 30, 2023","May 30, 2023",1685401200,"A",5,"Excellent Raised Garden Bed!","This item arrived earlier than expected, and was easy to set up!",false,"[""https://m.media-amazon.com/images/I/81COBHU-OdL._SL1600_.jpg""]"
"R2X94WSDMXO1L5","B091325ZMB","B091325ZMB","Reviewed in the United States on May 23, 2023","May 23, 2023",1684796400,"S. Stolarski",1,"Flimsy; many sharp edges.Would never have purchased if I had seen one in person.","1: The metal is thin and flimsy.It's going to be a chore to fill this thing without breaking it.2: MANY sharp edges, so many so, that they include a pair of white cotton gloves to wear while you put it together.Gloves that if you wear them, make it almost impossible to manipulate the nuts and bolts included to assemble it.3: The nuts and bolts have a small diameter.They are barely bigger than the holes you put them through.Too much stress on the panels and I'm pretty sure they will rip right out.I will never again purchase a Raised Garden Bed kit.",false,"[]"
"R20YIZBSW0VB6Y","B091325ZMB","B091325ZMB","Reviewed in the United States on May 18, 2023","May 18, 2023",1684364400,"Meg",4,"Nice, sturdy beds, but smaller than advertised","There are a lot of nuts/bolts to put this together, but with two people it wasn't too bad. Placing them (if of weed fabric) is certainly a two-person job. The corners of the assembled unit remain sharp, unlike the sides with their rolled edge. They've been installed in my yard for about a week now and I've cut myself twice. Going to work on a solution for that shortly. The main annoyance about these beds (I have two), is that they're shorter by 2 inches in both length and width than is advertised. I want to use the square-foot gardening method and this mainly means that I'll need to adjust my plantings a bit, but it is frustrating.I like these beds overall but am disappointed that they're smaller than I'd expected and planned for.",false,"[""https://m.media-amazon.com/images/I/81hW0jPymEL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81sOHHowdRL._SL1600_.jpg""]"
"RJV4MGN1IJUWX","B091325ZMB","B091325ZMB","Reviewed in the United States on May 4, 2023","May 4, 2023",1683154800,"Dustin Wilson",5,"good for the money","it looks nice in my garden.will order more.",false,"[]"
"R1JIQKIJIH4TSY","B091325ZMB","B091325ZMB","Reviewed in the United States on April 26, 2023","April 26, 2023",1682463600,"Nancy ",5,"Two to Do and Enjoy","You will love the finished product, but it really is much easier with 2 working together.Laying the pieces out ahead will help you navigate.The 6x3x2 took a lot of soil, a little less than a yard.",false,"[""https://m.media-amazon.com/images/I/81KXpp6R65L._SL1600_.jpg""]"
"R2UASZR16FII3H","B091325ZMB","B091325ZMB","Reviewed in the United States on April 20, 2023","April 20, 2023",1681945200,"Chad S.",5,"Can't beat the price","They are very large and a little bit flimsy. I added 4 extra threaded rods to hold the walls from collapsing over time. I also added wood trim all around the edges and now they are much stronger.",false,"[]"
"R35CEK9IHL5ZE3","B091325ZMB","","Reviewed in the United States on April 13, 2023","April 13, 2023",1681340400,"Papaw26",3,"Spend more for heavier gauge metal","Throw screws and nuts away that come with unit. Too small to work with and are metric. Buy a box of 10-24 by 1/2"" long pan head bolts and box of 10-24 hex head nuts . Using a 3/8 box end wrench you will be able to after starting nut by hand hold it easily.A cordless drill is a necessity with a Phillips bit for the pan head bolts.Start with constructing both the ends completely. Then you can construct the side panel one level at a time from ground up. Do first level all the way around and then tie both halves together. Proceed to second level.I added two bolts on end panels where each level met. Additionally with all thread I added support 1/4th and 3/4th down length.I was impressed with the machining but gauge of steel was a disappointment. It will work though.",false,"[""https://m.media-amazon.com/images/I/81IfwaZWZPL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81fSoZx7w2L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/918t7vNDjrL._SL1600_.jpg""]"
"R2JYQZUA5OAV5W","B091325ZMB","B091325ZMB","Reviewed in the United States on April 13, 2023","April 13, 2023",1681340400,"Sawyerman",4,"Galvanized planter boxes","These planters are adequate for my intended use and a decent value compared to similar, higher priced products.Not sure I would rate them as “heavy duty” as described by the seller, but they should last a couple years.",false,"[]"
"R3PQQL43SUDDZC","B091325ZMB","","Reviewed in the United States on April 6, 2023","April 6, 2023",1680735600,"Just a hobbyist.",4,"Very thin metal; wear gloves when assembling","It is very very thin metal with very sharp edges so wear the gloves they send when assembling. Trust me. Otherwise, it's not very sturdy but anchoring it in an inch of dirt certainly helps. Once it's filled with soil, it will be much more stable.",false,"[]"
