"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1UX241RI0S4WR","B093HCXGC9","B093HDM876","Reviewed in the United States 🇺🇸 on June 6, 2023","June 6, 2023",1686006000,"Ks",4,"Great for outdoor gardening.","Tall planter are great for keeping the critters out.They also make it easier on my back to garden.Will require a lot of soil.We did cardboard on the bottom, then branches, dry leaves, grass clippings and then about a 10 inches of quality soil mix.Assembly is way easier with 2 people, than doing by yourself.Havent used the trellis but like that it was included.",false,"[]"
"R1USSQ4GU4C4NF","B093HCXGC9","B093HCKBL2","Reviewed in the United States 🇺🇸 on June 1, 2023","June 1, 2023",1685574000,"IMG",5,"Ok","Liked it and use for veg garden",false,"[]"
"REMPJR2Z5GOHE","B093HCXGC9","B093HCXGC9","Reviewed in the United States 🇺🇸 on May 31, 2023","May 31, 2023",1685487600,"mac. mcknight",5,"Takes a lot ofdirt to fill it.","Just took a long time to assemble.",false,"[]"
"R20JAC3IH0S6SF","B093HCXGC9","B0BGNB9STT","Reviewed in the United States 🇺🇸 on May 25, 2023","May 25, 2023",1684969200,"Debra fleming",5,"Easy gardening","So far love it?",false,"[]"
"R1F4WP9CZG3EQI","B093HCXGC9","B093HDM876","Reviewed in the United States 🇺🇸 on May 24, 2023","May 24, 2023",1684882800,"Jerrie Stevens",5,"Perfect","I was as it was described,perfect size for my tomorrow plant's",false,"[]"
"RTYDRYQW1Y457","B093HCXGC9","B0BGND2M55","Reviewed in the United States 🇺🇸 on May 22, 2023","May 22, 2023",1684710000,"Brandon N.",2,"Its not 8x4x2","So to start this whole thing took over a month but in the end I will say the company did make it right.I am however writing this review to warm people who may be fooled how I was. The listing says the bed is 8x4x2 after that it then says its 22"" the bed is not 24"" tall as advertised and I was informed by the company this is to ""make it easier for customers to find"" That is bologna. The bed is not 2 ft tall and if you are putting it in a garden full of 2ft tall beds it is very noticeable. As an attempt to fix this issue I was sent out another bed. The second bed of course was also not 2ft tall but it also had paint issues and rust when I opened the box. I ended up throwing the bed away as I live in south Florida and the sun and humidity is not kind to anything.That being said after over a month of back and forth I was given back my money.Now here is the hard part. The one bed I do have is amazing. The build quality the strength everything. Its one of my favorite beds in my entire garden, but lying about its size and then sending me a rusty bubbled bed was sadly enough for me to look elsewhere for my raised beds.If you are looking for raised beds and do not care if they are 24"" tall then these are an incredible option I really wish it was the right height. I will say though check your beds when you get them, you may also get one with bubbling paint and starting to rust and for me its unacceptable for something that is supposed to live its entire life outside. As long as the height doesn't matter to you and you are conscious that it may have some manufacturer defect I would recommend these beds. They are well built easy to assemble and sturdy as all get out once built and filled. I really wish I hadn't had these issues because I would love to make my entire new garden out of these beds I absolutely love the way they look.",false,"[]"
"R39AP9G2W7AMDZ","B093HCXGC9","B09QC7S9WV","Reviewed in the United States 🇺🇸 on May 21, 2023","May 21, 2023",1684623600,"R Humphrey",5,"Nice planter, easy to assemble","Fairly straight-forward to assemble, looks nice in the garden.Will see how they do this season, then may purchase additional ones - it's really nice to have the beds elevated!",false,"[]"
"R12O8BWT2JQ3UA","B093HCXGC9","B0BGND2M55","Reviewed in the United States 🇺🇸 on May 20, 2023","May 20, 2023",1684537200,"Gary Groot",5,"Takes two people to assemble","Good product",false,"[]"
"R3I8SGA1U216HP","B093HCXGC9","B0BGN96ZZ1","Reviewed in the United States 🇺🇸 on May 20, 2023","May 20, 2023",1684537200,"S. Robison",4,"Look dubstantial","I purchased four of the 4 x 8 x 2 beige beds. Nice powder coat and didn’t scratch. Tops and bottoms are rolled so not sharp. Nog as as thin as most beds. Wish was better way than all those screws snd wing nuts. First box had two extra fasteners!The supports look good . Only reason I dinged them is for their poor directions!Where do you start…put sides together with wing nuts on inside. Then do short edges. Lastly put the supports in. Tighten all. Delivery was quick. I’d buy again provided they last.",false,"[]"
"R1PZI5YF0SX1RE","B093HCXGC9","B0BGNCV9LY","Reviewed in the United States 🇺🇸 on May 18, 2023","May 18, 2023",1684364400,"Amazon Customer",5,"Excellent quality","Easy to put together. Well-made highly recommend.",false,"[]"
