"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1HUYKWIPRRPNJ","B09MQ689XL","B0BGKJT4X8","Reviewed in the United States on June 11, 2023","June 11, 2023",1686438000,"Amazon Customer",5,"Excellent!","These are perfect for a raised bed gardening. Easy to put together. My plants love it!!! Great value for the $$. I plan to buy a couple more next year!",false,"[]"
"R3Q3X8MVBU1IL7","B09MQ689XL","B078K4WFKL","Reviewed in the United States on June 8, 2023","June 8, 2023",1686178800,"Gabrielle Allen-Clark",5,"Difficult for my engineer husband to assemble","This was difficult to assemble without a few swear words but once it was together it seemed to be pretty sturdy. I have no complaints.",false,"[]"
"R2W1M55CLPBV3L","B09MQ689XL","B079R764PP","Reviewed in the United States on June 7, 2023","June 7, 2023",1686092400,"sue",5,"Great value.Sturdy design","Easy to assemble and good quality",false,"[]"
"R1V2HX4UZYP2WZ","B09MQ689XL","B078425H29","Reviewed in the United States on June 3, 2023","June 3, 2023",1685746800,"Scrapple sandwich",5,"Very nice","Went together easy and set up nicely. I used all the included screws and then some as unless screws in all the connectors its flimsy to move. Very nice.",false,"[]"
"R107VY2SUH1O87","B09MQ689XL","B079R764PP","Reviewed in the United States on June 1, 2023","June 1, 2023",1685574000,"Alice",5,"Looks great","Easy to assemble and looks wonderful. Bowed a little bit when dirt was added but not too much.",false,"[]"
"R1C46ZB4MJVGSL","B09MQ689XL","B09MQ689XL","Reviewed in the United States on May 31, 2023","May 31, 2023",1685487600,"Erin Giza",1,"DO NOT BUY","Filled containers with dirt. Planted plants. Watered plants and one container bowed and completely fell apart. The other is about to break. Do not waste your money.",false,"[""https://m.media-amazon.com/images/I/81Z6n2RtE4L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/910HIm-6BLL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91K+JSVR0SL._SL1600_.jpg""]"
"R2EI1OW8NCF3Q2","B09MQ689XL","B079R764PP","Reviewed in the United States on May 31, 2023","May 31, 2023",1685487600,"madjack",5,"Easy and worked as expected.","This kit is is very easy and simple to work with. I ordered several kits and assembled in a larger configuration which required some additional support for the side so they wont bow or bend.",false,"[""https://m.media-amazon.com/images/I/91aAGorLFvL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91pjqWVGxcL._SL1600_.jpg""]"
"RHNSEO44EN2Z6","B09MQ689XL","B077N42PP3","Reviewed in the United States on May 31, 2023","May 31, 2023",1685487600,"Taunya",3,"My new raised planter bed looks Great.I'm so excited!","Easy to assemble.I should have had a rubber mallet.I hurt my hand trying to hit the clamps in place.I like the way it looks in the yard.I should have done the more rectangular lay out.Putting in the plants would have been easier.",false,"[""https://m.media-amazon.com/images/I/81N6706xfAL._SL1600_.jpg""]"
"R440Q0MX1Z467","B09MQ689XL","B078425H29","Reviewed in the United States on May 30, 2023","May 30, 2023",1685401200,"Nisha",5,"It’s perfect garden bed","Material is good , lots of space",false,"[]"
"RDVENIC7HMWI3","B09MQ689XL","B079R764PP","Reviewed in the United States on May 28, 2023","May 28, 2023",1685228400,"bernard cantin",5,"Great bed","easy to assemble",false,"[]"
