"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2I778WMRYSUWA","B09PN11Y65","B0BNPLKNJB","Reviewed in the United States on June 13, 2023","June 13, 2023",1686610800,"Travis Benitez",5,"Sturdier when you fill it","Garden bed looks great m, takes about an hour to assemble,it’s best if two people assemble this or else you may bend some of the metal also it takes a lot of dirt; a lot!",false,"[""https://m.media-amazon.com/images/I/81GtMp1IK+L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91-U5B0d0KL._SL1600_.jpg""]"
"R1XTU2GFFG36I8","B09PN11Y65","B09PN11Y65","Reviewed in the United States on June 7, 2023","June 7, 2023",1686092400,"Ann Marie Schwab",2,"Mismatched metals","The metals don’t match!Tried switching the panels and it’s not possible because the holes don’t line up to do so.Unfortunately, my hubby assembled it and filled it without noticing and I didn’t have the heart to make him take it all apart.Taking off the plastic coating was also a big pain.Very disappointed and would not purchase again.",false,"[""https://m.media-amazon.com/images/I/91Q4vXzhR8L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/91aEBv+b2VL._SL1600_.jpg""]"
"R3V9LC8K5FKVQO","B09PN11Y65","B09PN11Y65","Reviewed in the United States on May 23, 2023","May 23, 2023",1684796400,"jpme",5,"You need two people to put this together","I really liked the height of this. I have a bad back and this allows me to garden at a comfortable level. Great garden for small spaces",false,"[]"
"R3NFU7Z5075B1P","B09PN11Y65","B0BNPLKNJB","Reviewed in the United States on May 17, 2023","May 17, 2023",1684278000,"jjacq",4,"Mislabeled parts but good","The instructions refer to the wrong panels when assembling, but if you have some common sense you can figure it out. Other than that, looks good and seems sturdy.",false,"[]"
"RZ15AV6TGN946","B09PN11Y65","B09PMYXRPJ","Reviewed in the United States on May 13, 2023","May 13, 2023",1683932400,"Diane Forsell Mooney",2,"Run away from this","This item is overpriced for the flimsy materials. But it will cut you if you aren’t careful. More importantly it is not easy to assemble unless you enjoy hurting your hands with all the screws. There are so many - and 30 minute assembly is laughable.It will get filled with dirt and plants eventually but I would not buy another. Was planning on 3 of these. Nope. No way.",false,"[""https://m.media-amazon.com/images/I/61l6wtqikWL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/815fWTiOIgL._SL1600_.jpg""]"
"R9AGMOEEHRIUW","B09PN11Y65","B0BNPLKNJB","Reviewed in the United States on May 2, 2023","May 2, 2023",1682982000,"Santa Fe",1,"Waste of my time and money!","This product should not be sold on Amazon.Metal weight/gauge is not sturdy enough for what this is meant for.Support brackets are super flimsy and provide no structure.Then the panels are missing screw holes, really?I hired a professional to assemble at a hefty price, and we finally come to the conclusion this product is defective in every way.Now I have to take more time to disassemble half the screws, box everything up and take it to UPS, just so I can get my refund.That is why I say it was a waste of my valuable time and money paid to assemble.",false,"[]"
"R2NK7KRP0JKPKJ","B09PN11Y65","B0BNPLKNJB","Reviewed in the United States on April 27, 2023","April 27, 2023",1682550000,"T Spicer",3,"The metal color is lighter than picture.","I was expecting a darker metal since I was trying to coordinate with other beds.",false,"[]"
"R2YC3S8FTMILT1","B09PN11Y65","B09PN11Y65","Reviewed in the United States on April 13, 2023","April 13, 2023",1681340400,"Beverly Flynn",5,"Received on time and am happy with the bed.","It’s light weight. Lots of wing nuts so had sore fingers after putting together. Looks good. Haven’t planted yet.",false,"[]"
"R2YV3GFXL7ZHZP","B09PN11Y65","B09PN11Y65","Reviewed in the United States on April 13, 2023","April 13, 2023",1681340400,"Sharley Ann Huntsman",2,"Missing pieces","We did not get all of the nuts and bolts that are supposed to come with these! They are very thin and sliced right through my husband’s knee no plastic on sharp edges very poorly packed",false,"[""https://m.media-amazon.com/images/I/71xccJPo89L._SL1600_.jpg""]"
"R1I3E8X6DW171R","B09PN11Y65","B09PN11Y65","Reviewed in the United States on April 12, 2023","April 12, 2023",1681254000,"Helen",1,"Thin and flimsy","I got these gardens beds thinking they are thicker metal then they, they are very flimsy. Once I filled them up with dirt they are a bit more stable. Defiantly will need to frame them with wood around .",false,"[]"
