"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R2HS0ALDDD0QHN","B0BCTTCSBZ","B0BCTTCSBZ","Reviewed in the United States on June 12, 2023","June 12, 2023",1686524400,"Sealilly34",4,"Nice garden box","This is a nice garden box. The height is great. The metal is a little flimsy for the weight of all of the dirt that needs to go into it. I even filled,the bottom 1/3-1/2 with yard debris to lighten it up.But, it works well over all.",false,"[]"
"R2MCZCAET38S1D","B0BCTTCSBZ","B0BCV5ZSW6","Reviewed in the United States on June 7, 2023","June 7, 2023",1686092400,"Tammy Wilson",5,"looks wonderful","I don't have dirt in them yet as we just put them together. but I love the look",false,"[]"
"RBVZZMVV7V82X","B0BCTTCSBZ","B0BCV5ZSW6","Reviewed in the United States on June 5, 2023","June 5, 2023",1685919600,"Grandma Sheila",2,"Arrived damaged","Half of the panels arrived damaged on one corner. Don’t know if I can straighten it out enough to fit ittogether properly or not.",false,"[]"
"RDQWQ457BMAMK","B0BCTTCSBZ","B0BCTTCSBZ","Reviewed in the United States on June 3, 2023","June 3, 2023",1685746800,"NC Gardener",5,"Quality, Deep, Easy Assembly","This is a quality raised bed and reinforced for sturdiness. It’s deeper than I need, so to save soil for this type of raised bed, we place small twigs and leaves about a foot deep and then add the soil. This process enriches the soil as the twigs and leaves turn into compost. We then add more soil from our large compost pile as needed.",false,"[]"
"R1TDSKT6Q2CW1K","B0BCTTCSBZ","B0BCV5ZSW6","Reviewed in the United States on May 28, 2023","May 28, 2023",1685228400,"Realtor/Landlord",5,"Easy assembly","I was surprised how easy it was to assemble this and the finished product is really sharp",false,"[]"
"R1BSN6HRPC0HCB","B0BCTTCSBZ","B0BCTTCSBZ","Reviewed in the United States on May 27, 2023","May 27, 2023",1685142000,"Alchemy2000",1,"cheap and worthless","This planter was not worth the box it came in. The instructions were unclear. There were loose screws inside the box. And several of the screws were too short to use. What a waste of money. True China quality.",false,"[]"
"R2UBOJBDOK49B","B0BCTTCSBZ","B0BCTTCSBZ","Reviewed in the United States on May 27, 2023","May 27, 2023",1685142000,"Kindle Customer",3,"Poorly packaged - arrived damaged","Ordered two of these, both arrived with damaged corners. I was able to bend them back, but it made the connecting process during setup more of a hassle than it should have been. Flimsy little plastic protectors are not enough to avoid damage.",false,"[""https://m.media-amazon.com/images/I/51wc28s6RLL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71iRxSeFmlL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81WhUpw40OL._SL1600_.jpg""]"
"R3VXM5JWCZ8DBP","B0BCTTCSBZ","B0BCTTCSBZ","Reviewed in the United States on May 27, 2023","May 27, 2023",1685142000,"Jodi",2,"galvanized raised Garden bed","This was difficult to put together per my husband and he said the wing nuts and bolts were awful and of poor quality.He said it ripped his hands up because he couldn't do the job with the gloves on. Once put together, this is a very deep piece with no bottom.My husband is worried about the amount of material it will take to fill and his concern is once filled that the piece will bow.Pretty flimsy metal and we are not sure if it will hold up or not.However, we are going to find a spot in the yard and give it a try.",false,"[]"
"RAR9SDVTOSC7","B0BCTTCSBZ","B0BCV5ZSW6","Reviewed in the United States on May 26, 2023","May 26, 2023",1685055600,"S. Huijon",5,"Just the right size that we needed","Easy to assemble make sure you are across length wise and width wise apply your soil fillip to 5 to 6 inches from top with compost or mixed layers of garden soil, peat moss and again garden soil, manure and top off with garden soil.",false,"[""https://m.media-amazon.com/images/I/81NL4NcPn3L._SL1600_.jpg""]"
"R2IUWXKYSFHL4G","B0BCTTCSBZ","B0BCV5ZSW6","Reviewed in the United States on May 26, 2023","May 26, 2023",1685055600,"TC5of them",4,"So far so good","I just received it yesterday and put it together last night. It took a while with all the screws and wing nuts, about 45 of them. Love the tan color. Seems like it will hold the soil well with the corner, center and middle braces. The metal panels are labeled with P1 or P2 and the instructions are detailed step by step. It does have 4 ground stakes to pound into the ground if you choose to use them.",false,"[""https://m.media-amazon.com/images/I/615U9cZG8tL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71Uch-UrrbL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71dYP1XSjfL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71eWqc9z8pL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71poM-ZlvvL._SL1600_.jpg""]"
