"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R3QZLAWAJZ5JVV","B0BVZ3H4MB","B0BHQBFBDN","Reviewed in the United States 🇺🇸 on June 4, 2023","June 4, 2023",1685833200,"Louis G. LaDuke",1,"Creepy made","This is so creepy made and I got the heavy duty one I would NEVER buy this I wish I could take it back and get my 200.00 I paid",false,"[""https://m.media-amazon.com/images/I/812iz8XpGUL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81Z-ChF7lEL._SL1600_.jpg""]"
"R2BE7SMX3ENRH7","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on May 30, 2023","May 30, 2023",1685401200,"Alicia",5,"Works great","We love this container bed. Bc of the height, animals can't get to my herbs easily, and our dog can't do his thing over them! The ability to configure as needed is a plus too. It was easy to put together, but a little time consuming, maybe 20-25min with two people using power screwdrivers.",false,"[""https://m.media-amazon.com/images/I/81AholqKgXL._SL1600_.jpg""]"
"R7W7B3RZCL1MX","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on May 29, 2023","May 29, 2023",1685314800,"Melody",5,"Perfect garden","It is easy to put together and a perfect size for my family",false,"[""https://m.media-amazon.com/images/I/81aFEeu1NWL._SL1600_.jpg""]"
"R1Q9UA40MFWZKK","B0BVZ3H4MB","B0BHQBFBDN","Reviewed in the United States 🇺🇸 on May 25, 2023","May 25, 2023",1684969200,"joseph c mack",5,"Easy to assemble","Great raised bed, looks good too!",false,"[]"
"RXKI1U2XIQZFH","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on May 21, 2023","May 21, 2023",1684623600,"Mark H",5,"As expected","Great Product/ nice quality",false,"[]"
"R1WJNNJR2OTBV4","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on May 20, 2023","May 20, 2023",1684537200,"Victor L. Castagnoli",5,"Perfect sized for the spot in my garden","Went together with no problems, and fit the spot I had available in my garden.Packaged well, nice to have options on the shape.",false,"[]"
"R1IH44IUVQHGAG","B0BVZ3H4MB","B0BHQBFBDN","Reviewed in the United States 🇺🇸 on May 16, 2023","May 16, 2023",1684191600,"dinh",5,"material use","this is a very good container . durable easy to assembly, worth to buy.",false,"[]"
"R1F207T9GCR9QM","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on April 22, 2023","April 22, 2023",1682118000,"tara",1,"Flimsier than other brands","There are better quality versions out there. These were not as thick and sturdy as others that I have. The pieces didn't align well which made them hard to put together. Plus, at least half arrived dented and one corner was completely crumpled making the whole thing useless.",false,"[""https://m.media-amazon.com/images/I/61MCVNVk73L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/7136zJFcpHL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71Demz1cBBL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71l97pUqV1L._SL1600_.jpg"",""https://m.media-amazon.com/images/I/81QD9tipiUL._SL1600_.jpg""]"
"R2L2J5KW0S5J0Q","B0BVZ3H4MB","B0BLJZLJKQ","Reviewed in the United States 🇺🇸 on April 19, 2023","April 19, 2023",1681858800,"karren",5,"Great Raised Bed","Went together pretty well. Seems sturdy and I can’t wait to get the garden started in it.",false,"[]"
"R3HN045LRC83FR","B0BVZ3H4MB","B0BHQBFBDN","Reviewed in the United States 🇺🇸 on April 17, 2023","April 17, 2023",1681686000,"Larry H.",5,"Be patient during assembly.","I like all that I have use for at this time.",false,"[]"
