"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1UNKBFNV0Y17J","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 20, 2023","April 20, 2023",1681945200,"Ann R.",2,"You get what you pay for","One of the forks broke during its first use.",false,"[]"
"R1HWOQ9DOY1WO2","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 15, 2023","April 15, 2023",1681513200,"Lisa Payne",5,"Excellent quality","Great gifts for family members!",false,"[]"
"R3JRGP6YJA8AZL","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 14, 2023","April 14, 2023",1681426800,"Amazon Customer",5,"Very nice item. Came with 5 forks that extend in a little case.","Great for roasting marshmallows !",false,"[]"
"RLBVYBS4ICK24","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 10, 2023","April 10, 2023",1681081200,"Amazon Customer",5,"Quality extendable rods","Great colors, sturdy rods which extend to your desired length. Grandchildren had a ball using them.",false,"[]"
"RBBYFWWRF73XH","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 9, 2023","April 9, 2023",1680994800,"Amazon Customer",5,"Perfect","These are perfect for anything you want to roast over your fire. Easy to use, extend, clean and are color coded.Ordering more.",false,"[]"
"R1CJM3X4UAUJVC","B07VDKMGPM","B00YLAMXQY","Reviewed in the United States 🇺🇸 on April 6, 2023","April 6, 2023",1680735600,"Larry A. Lutes",5,"Yum.","Excellent price and design. Beats using a stick.",false,"[]"
"R36WAU1DYHA3ZU","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 6, 2023","April 6, 2023",1680735600,"tom ravo",5,"How perfect they are","Much better then eating a fired up marshmallow from a dirty stick",false,"[]"
"R3NLLBTEEIAVX7","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on April 2, 2023","April 2, 2023",1680390000,"Erik Hoelscher",1,"Broke after first use","Two broke after using 1 time. Flimsy - do not recommend.",false,"[""https://m.media-amazon.com/images/I/61125As44ZL._SL1600_.jpg""]"
"RD8H242TEO1ZI","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on March 29, 2023","March 29, 2023",1680044400,"Heather",4,"cheap and convenient","Great price for what you get. I like the telescoping feature because they are easy to store when camping. Love these items.",false,"[]"
"R1SB0JBZLUUPYV","B07VDKMGPM","B07VDKMGPM","Reviewed in the United States 🇺🇸 on March 29, 2023","March 29, 2023",1680044400,"Bunny Genzer",5,"Love them","Love it",false,"[]"
