"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R34D4NE7MK639U","B08BPHCNN4","","Reviewed in the United States on April 3, 2023","April 3, 2023",1680476400,"Susan Murray",5,"Marshmallow sticks","Love the bag for storage, love that they are expandable.",false,"[]"
"RHOWSSPZ2V2LN","B08BPHCNN4","","Reviewed in the United States on February 28, 2023","February 28, 2023",1677542400,"Giovane",5,"Great quality!","I love that it is adjustable I recommend!!",false,"[]"
"R14JRWDYF7NVKY","B08BPHCNN4","","Reviewed in the United States on October 8, 2022","October 8, 2022",1665183600,"A. Murray",5,"Great forks for a bonfire","Got these and they are sturdy and fold down. Really like that they have a storage case.",false,"[]"
"R2PMKNKH928217","B08BPHCNN4","","Reviewed in the United States on September 9, 2022","September 9, 2022",1662678000,"Pamela Bielenberg",5,"Replaced old ones","We had a set like this in the motorhome that has lasted for years—until husband decided it was the perfect tool to clean out a toilet clog!!! So—brand new set with my name on them so we won’t get them mixed up with the others. (Eye roll here)",false,"[]"
"R2V2XJIVYX3M4R","B08BPHCNN4","","Reviewed in the United States on August 17, 2022","August 17, 2022",1660690800,"gdesmet",5,"easy to use and cleaned up well","Worked very well, are easy to clean and seem to be heavy enough to last a while",false,"[]"
"RAFKYSDS02PHG","B08BPHCNN4","","Reviewed in the United States on August 3, 2022","August 3, 2022",1659481200,"veronica bethel",5,"Great forks for roasting on fire pits..","These are quality made forks.. great for kids to use the length is perfect. Slide to size nice and bag is a bonus to keep clean!",false,"[]"
"R6QXOKSQOV507","B08BPHCNN4","","Reviewed in the United States on July 9, 2022","July 9, 2022",1657321200,"Scott Erdman",5,"Made the grandkids happy with a fire and smores.","Very nice set, worked great for us, more sturdy than other sets we have used.Look like these will last us awhile.Grand kids love to use these on our fire pit for Hot dogs and Marshmallows.",false,"[]"
"R3IUEV834AGF6E","B08BPHCNN4","","Reviewed in the United States on May 1, 2022","May 1, 2022",1651359600,"J. Upton",5,"Sturdy and well-made","We had previously bought “cheaper” sticks from Amazon only to have to return them because they were flimsy junk.We returned those and decided we’d spend the extra money and try these and so glad we did.Only sorry we didn’t order them first.They’re very sturdy and well-made.I have no doubt we’ll have them forever and a day.",false,"[]"
"R3QGAFCBFDBGCN","B08BPHCNN4","","Reviewed in the United States on April 4, 2022","April 4, 2022",1649026800,"Larry",5,"Very very nice.","These open fire roasting sticks are the best I’ve found. The length is adjustable so your hand stays cool. They are double pronged so hot dogs stay on. Strong and well made. Plus they came in a well made storage bag. I definitely recommend these.",false,"[]"
"RJ2CRKKUCRB3K","B08BPHCNN4","","Reviewed in the United States on March 25, 2022","March 25, 2022",1648166400,"BTS",3,"A Bit Pricey, But Nice","Bought these because they were sturdier than the wire roasting forks, but leaner than the heavier ""hotdog"" roasting forks.I feel they are a bit too pricey for the product, and a couple of the forks arrived with the tack-welding joints already separated.Overall, these would be a great item for about half that price... but there are few options like this out there.They did work well, and do the job intended though.",false,"[]"
