"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R31OX7806P7NBR","B08SQJL57H","B09MLYZH4V","Reviewed in the United States 🇺🇸 on April 1, 2023","April 1, 2023",1680303600,"Amazon Customer",5,"Colorful and useful","Though I used the product for a different purpose, they are colorful and appealing to the eye and work fine.",false,"[]"
"R3RBRC019D47ZN","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on February 9, 2023","February 9, 2023",1675900800,"kathleen souhrada",5,"Fast delivery","Fondue",false,"[]"
"RX0H5SUP1EPRO","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on January 17, 2023","January 17, 2023",1673913600,"Linda Lafontaine",4,"Bonne qualité","bien pour le prix.",false,"[]"
"R2GAEV32S8NHUR","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on January 5, 2023","January 5, 2023",1672876800,"Bruce",5,"Sturdy design, color coded, worked well.","Used the product for a fondue party.Worked great!",false,"[]"
"R5AVM4J4R8MY5","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on January 3, 2023","January 3, 2023",1672704000,"Amazon Customer",5,"Fondue success","Long handles with good colored ends, made it easy for our fondue party to keep the forks separated",false,"[]"
"R30ZE4V5PWHSR5","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on December 30, 2022","December 30, 2022",1672358400,"gwbldad",5,"Colorful markings are easy to identify","These fondue forks were the talk of our party! Each one is uniquely identified with a different colored end and is well balanced to use. Clean-up was easy. I recommend this product to my family and friends.",false,"[]"
"R3MHV77R5N8B8M","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on December 27, 2022","December 27, 2022",1672099200,"margo",5,"happy forks!","I just love these colorful, sturdy fondue forks. They make you feel happy with the colors...lol Would buy again!",false,"[]"
"R1DM8M3BWGOCH1","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on December 26, 2022","December 26, 2022",1672012800,"Suzani",5,"Fondue Fun!","Just in time for fondue fun at Christmas. They worked well.",false,"[]"
"R1QYCNW0QSVND","B08SQJL57H","B09MLYZH4V","Reviewed in the United States 🇺🇸 on December 22, 2022","December 22, 2022",1671667200,"Frederick Olnhausen",3,"Not as long as I expected.","The color on the ends of the sticks. So everyone knows who’s is there’s.",false,"[]"
"RIWK1CXA1VYRL","B08SQJL57H","B08SQJL57H","Reviewed in the United States 🇺🇸 on December 21, 2022","December 21, 2022",1671580800,"Janice A. ",5,"Perfect for fondue party","Fifteen different color fondue sticks with pointed ends that easily pick up the food selections. Brilliant.",false,"[]"
