"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1E1ILE9DNGPPW","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on April 2, 2023","April 2, 2023",1680390000,"Wayne Walker",5,"Kid love them pretty flimsy","My grandkids love them, but they can't stand up to kids",false,"[]"
"R2R74OBZOZ03M3","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on April 1, 2023","April 1, 2023",1680303600,"Eric D",5,"Perfect marshmallow roasters!","We purchased these to add to the camping bin, since then we've used them a handful of times, and they have even survived a bunch of teenagers crazily making s'mores.It's hard to understand the ability to have marshmallow cover an entire stick, but it happens.After a quick, they all cleaned up perfectly.",false,"[]"
"R182IPMHVV3W58","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on February 27, 2023","February 27, 2023",1677456000,"Chelsea",4,"Purchased for smores","I purchased these to roast marshmallows. I do like that they aren't sharp. I like that they are retractable. I also like the case they come in making it easy to put away. The reason why I took of 1 star is that after the first use one of them broke when I was retracting it.",false,"[]"
"R2F5BD2KGBLS37","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on February 20, 2023","February 20, 2023",1676851200,"D.B.",5,"Great For Parties","Great to pull out for the kids, plenty to go around and the bag makes it easy to store.",false,"[]"
"R1XMX6SVFGDNUE","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"Kathryn",5,"S'mores and hotdogs!","These skewers are perfect for our outdoor fire ring. My kids love using them they are sturdy and were easy to clean.",false,"[]"
"R2N6RHJ9SHSVR9","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on January 12, 2023","January 12, 2023",1673481600,"CC",5,"Perfect for kids","Use them all the time for s’more nights",false,"[]"
"R2B2ANSCRBYD8","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on January 5, 2023","January 5, 2023",1672876800,"Jayb",4,"Imoressed","These are built pretty well considering the price. Like that they’re telescoping so easy to store in the bag that comes with them.",false,"[]"
"R4ID8R5XZR470","B098QKH9W8","B098QKH9W8","Reviewed in the United States 🇺🇸 on December 26, 2022","December 26, 2022",1672012800,"daun pineda",5,"Great product","Great product",false,"[]"
"R2V0W8M1WA742Y","B098QKH9W8","B09XTYRHKT","Reviewed in the United States 🇺🇸 on December 23, 2022","December 23, 2022",1671753600,"Amazon Customer",5,"Perfect for s’mores","Perfect for what I need them for I added them to s’mores kits",false,"[]"
"RX0USRQZ0HXFW","B098QKH9W8","B09XHTLJH2","Reviewed in the United States 🇺🇸 on December 17, 2022","December 17, 2022",1671235200,"Starr",5,"Good use for what was intended.","They are handy for camping or just a fire put at home.",false,"[]"
