"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase","media"
"R1RO3C1A7XCVLR","B0BQBYQH4Q","","Reviewed in the United States on April 10, 2023","April 10, 2023",1681081200,"Donate Media - Product Reviews",5,"Now you can get that perfect, golden-brown marshmallow without burning your knuckles off. :)","I mean, what a time to be alive!These things come in 12 different colors, so you can match them to your outfit or your mood or whatever.Now you can get that perfect, golden-brown marshmallow without burning your knuckles off. :)I gotta say, these sticks are a game-changer for anyone who takes their s'mores seriously. Highly recommend!",false,"[]"
"R2UKTJA57EZ63G","B0BQBYQH4Q","","Reviewed in the United States on April 10, 2023","April 10, 2023",1681081200,"Stan",5,"Great roasting sticks with a ton of length.","Used these this weekend camping and am extremely pleased with them! I like to build massive fires and the telescoping length of these was a huge plus to not burn my face off while making smores. They are heavier-duty steel compared to others I've used. All around a great addition to my camping gear.",false,"[]"
"R12NQWDV6UD0LE","B0BQBYQH4Q","","Reviewed in the United States on April 6, 2023","April 6, 2023",1680735600,"HS",5,"Best for table top fire pit","These marshmallow roasting sticks are short and can’t be safely used in a traditional bonfire. These are best used with a table top fire pit. They are easy to clean afterwards and hold up well.",false,"[]"
"R1MRXP8FMOBRWT","B0BQBYQH4Q","","Reviewed in the United States on April 2, 2023","April 2, 2023",1680390000,"G Grant",5,"Surprised","I bought these thinking they would be a cheap single use situation. These are extendable, easy to clean, rainbow colored and hold up really well. We made several rounds of a s’mores last night and then cleaned them right up, shortened them, back in the case they went. They aren’t sharp so they’re great for kiddos too! Super pleased with this buy actually.",false,"[]"
"R2P3WSXOMZ2K15","B0BQBYQH4Q","","Reviewed in the United States on March 28, 2023","March 28, 2023",1679958000,"SLY",5,"No more wire hangers!","Perfection for your campfire or back yard weenie roast!! Each one has a different color handle, so everyone knows which roasting stick is theirs. Double prongs on the end with a little rubber caps – be sure not to lose the caps. Comes with a handy Storage bags, so no worries about them getting scattered when not in use. They telescope out really, really long. You can stand a good ways away from the campfire with these. Can roast one weenie or two marshmallows! I do not recommend adding another weenie, or trying to roast anything heavier than one weenie. These aren’t heavy duty and will start to droop if you put too much weight on the end. Definitely supervise children with them because 1. you’ll probably be around a campfire and you need to supervise kids around fire anyway and 2. you don’t want the kids to sword fight with these and poke each other’s eyes out. Very happy to have these to use around the fire pit at my place. Can’t wait for the next clear evening together around the fire and use these!",false,"[""https://m.media-amazon.com/images/I/61OH9Q6ZTSL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/712kORTQcaL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71AKoKelhrL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71I5h+F-hUL._SL1600_.jpg"",""https://m.media-amazon.com/images/I/71ikBUWPNyL._SL1600_.jpg""]"
"R13VFAO60MQ3U3","B0BQBYQH4Q","","Reviewed in the United States on March 24, 2023","March 24, 2023",1679616000,"Jen Rose",5,"Great for camping!","These Marshmallow sticks are great!They are very durable and easy to use!Don’t have to worry about dropping your marshmallow off a stick anymore.Easy to clean and sturdy comes in a nice carrying bag and has beautiful colors.Great value for camping or the backyard!!",false,"[]"
"R12ONU8DV9MBKE","B0BQBYQH4Q","","Reviewed in the United States on March 22, 2023","March 22, 2023",1679443200,"Alicia",5,"Long enough to reach the neighbors bonfire.","Who doesn't love a good bonfire, add on some roasted hotdogs and marshmallows and you got an awesome night. My property however is nothing but pine trees and whittling those branches down for roasting sticks aren't really the best for taste so I got these instead. I like that each one is a different color so there aren't any mix ups as to which goes to which person. The forks are strong and durable without being too heavy and the telescoping handles are ridiculously long, but that's great as it means you don't have to get too close to the fire (great for kids). Overall I'm very happy with these and can't wait to use them.",false,"[]"
"R1ZL26TBXICN1F","B0BQBYQH4Q","","Reviewed in the United States on March 22, 2023","March 22, 2023",1679443200,"aRunNerdAmI",5,"works great","I've had similar ones before. These work just as well, but I love the colors.",false,"[]"
"R2X0OYY5CN5FLU","B0BQBYQH4Q","","Reviewed in the United States on March 21, 2023","March 21, 2023",1679356800,"Jessica Lopez",5,"Go go gadget roaster!!","The extension on these is insane!! They are also sturdy enough to easily hold 2 hot dogs while fully extended and not fall into the fire! Easy enough to hold on to for kiddos even! Easy cleanup, easy storing, all around incredible!",false,"[]"
"RA4B8K5PLV1NE","B0BQBYQH4Q","","Reviewed in the United States on March 12, 2023","March 12, 2023",1678579200,"Carder",5,"Great for camping out","This is a very nice campout set! it comes with 12 sticks that are each different colors which is nice if you're camping out with extra people, so you don't get them mixed up. The sticks seem like great quality and will be perfect for marshmallow roasting or hotdog roasting.",false,"[]"
